	F1-score	    RI	  ARI	    JI

DBSCAN	0.9853 	0.9988 	0.9847 	0.9710 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9796 	0.9984 	0.9788 	0.9600 
	0.9796 	0.9984 	0.9788 	0.9600 
	0.9667 	0.9974 	0.9654 	0.9356 
	0.9323 	0.9942 	0.9293 	0.8732 
	0.9323 	0.9942 	0.9293 	0.8732 
	0.9061 	0.9930 	0.9025 	0.8283 
	0.8801 	0.9891 	0.8745 	0.7859 
	0.8801 	0.9891 	0.8745 	0.7859 

CDP	0.9798 	0.9984 	0.9790 	0.9605 
	0.9731 	0.9978 	0.9720 	0.9476 
	0.9698 	0.9976 	0.9685 	0.9413 
	0.9682 	0.9974 	0.9668 	0.9383 
	0.9671 	0.9974 	0.9658 	0.9363 
	0.9658 	0.9973 	0.9644 	0.9338 
	0.9651 	0.9972 	0.9637 	0.9326 
	0.9624 	0.9970 	0.9609 	0.9276 
	0.9618 	0.9970 	0.9602 	0.9263 
	0.9323 	0.9942 	0.9293 	0.8732 
	0.8801 	0.9891 	0.8745 	0.7859 
	0.8415 	0.9850 	0.8338 	0.7264 
	0.7669 	0.9757 	0.7547 	0.6219 
	0.6795 	0.9624 	0.6615 	0.5146 
	0.5912 	0.9448 	0.5666 	0.4196 
	0.5569 	0.9365 	0.5295 	0.3859 
	0.5412 	0.9324 	0.5125 	0.3710 
	0.5123 	0.9241 	0.4812 	0.3444 
	0.4744 	0.9116 	0.4399 	0.3110 
	0.4389 	0.8962 	0.4009 	0.2812 

CDC	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9848 	0.9988 	0.9841 	0.9700 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
	0.9798 	0.9984 	0.9790 	0.9605 
				
				
				
DBSCAN	0.9063 	0.9921 	0.9022 	0.8286 
	0.9057 	0.9918 	0.9015 	0.8277 
	0.8822 	0.9903 	0.8772 	0.7893 
	0.8781 	0.9880 	0.8719 	0.7827 
	0.8740 	0.9897 	0.8687 	0.7762 
	0.8700 	0.9869 	0.8632 	0.7699 
	0.8689 	0.9872 	0.8622 	0.7682 
	0.8662 	0.9866 	0.8592 	0.7640 
	0.8571 	0.9849 	0.8494 	0.7500 
	0.8571 	0.9849 	0.8494 	0.7500 
	0.8571 	0.9849 	0.8494 	0.7500 
	0.8571 	0.9849 	0.8494 	0.7500 
	0.8142 	0.9858 	0.8071 	0.6867 
	0.7826 	0.9749 	0.7699 	0.6429 
	0.7826 	0.9749 	0.7699 	0.6429 
	0.7826 	0.9749 	0.7699 	0.6429 
	0.7500 	0.9698 	0.7350 	0.6000 
	0.7500 	0.9698 	0.7350 	0.6000 
	0.7500 	0.9698 	0.7350 	0.6000 
	0.7500 	0.9698 	0.7350 	0.6000 

CDP	0.8932 	0.9903 	0.8881 	0.8070 
	0.8913 	0.9898 	0.8860 	0.8039 
	0.8908 	0.9896 	0.8854 	0.8031 
	0.8877 	0.9898 	0.8823 	0.7980 
	0.8877 	0.9895 	0.8822 	0.7981 
	0.8837 	0.9890 	0.8779 	0.7916 
	0.8835 	0.9892 	0.8778 	0.7913 
	0.8829 	0.9891 	0.8772 	0.7903 
	0.8823 	0.9891 	0.8765 	0.7893 
	0.8786 	0.9888 	0.8727 	0.7835 
	0.8704 	0.9871 	0.8637 	0.7705 
	0.8664 	0.9867 	0.8595 	0.7643 
	0.8589 	0.9861 	0.8517 	0.7527 
	0.8286 	0.9821 	0.8193 	0.7074 
	0.7907 	0.9770 	0.7789 	0.6538 
	0.7714 	0.9738 	0.7582 	0.6279 
	0.6562 	0.9537 	0.6342 	0.4883 
	0.5710 	0.9336 	0.5416 	0.3995 
	0.5478 	0.9271 	0.5164 	0.3773 
	0.4740 	0.9020 	0.4353 	0.3106 

CDC	0.9416 	0.9947 	0.9388 	0.8896 
	0.9416 	0.9947 	0.9388 	0.8896 
	0.9365 	0.9944 	0.9336 	0.8806 
	0.9303 	0.9939 	0.9271 	0.8697 
	0.9274 	0.9935 	0.9240 	0.8646 
	0.9274 	0.9935 	0.9240 	0.8646 
	0.9251 	0.9934 	0.9217 	0.8606 
	0.9204 	0.9928 	0.9167 	0.8526 
	0.9204 	0.9928 	0.9167 	0.8526 
	0.9162 	0.9927 	0.9124 	0.8454 
	0.9135 	0.9925 	0.9096 	0.8408 
	0.9135 	0.9925 	0.9096 	0.8408 
	0.9135 	0.9925 	0.9096 	0.8408 
	0.9135 	0.9925 	0.9096 	0.8408 
