,UMAP_1,UMAP_2,labels
F1S4_161216_001_A01,10.90857633,-0.990663828,Glutamatergic
F1S4_180124_314_A01,2.07829257,12.50294036,Glutamatergic
F1S4_180124_315_A01,1.052781126,-8.49829656,GABAergic
F1S4_180124_315_B01,3.558251223,-10.73186284,GABAergic
F1S4_180124_315_C01,3.064555964,-11.21428949,GABAergic
F1S4_180124_315_D01,1.853581033,-12.16009122,GABAergic
F1S4_180124_315_E01,2.173963985,-8.39403993,GABAergic
F1S4_180124_315_F01,2.145702085,-11.81589586,GABAergic
F1S4_180124_315_G01,0.680188156,13.70243758,Glutamatergic
F1S4_180124_315_H01,3.285732827,12.74673384,Glutamatergic
F1S4_180124_316_A01,3.921787343,-10.42810041,GABAergic
F1S4_180124_316_B01,3.112421593,-1.764941753,GABAergic
F1S4_180124_316_C01,3.937659344,13.17680663,Glutamatergic
F1S4_180124_316_D01,3.526993356,-10.99201757,GABAergic
F1S4_180124_316_E01,2.013801298,-11.44421178,GABAergic
F1S4_180124_316_F01,3.737509332,-10.55747205,GABAergic
F1S4_180124_316_G01,-9.148461023,5.580740629,GABAergic
F1S4_180124_316_H01,-4.375595727,-10.41909677,GABAergic
F1S4_180124_317_A01,-4.335410276,-0.207932138,GABAergic
F1S4_180124_317_B01,3.062731824,-0.666335942,GABAergic
F1S4_180124_317_C01,3.833760104,-10.24947244,GABAergic
F1S4_180124_317_D01,2.829193911,-0.91358626,GABAergic
F1S4_180124_317_E01,3.72312983,-10.25124151,GABAergic
F1S4_180124_317_F01,-9.383121171,0.271801977,GABAergic
F1S4_180124_317_G01,3.355403743,-11.2545479,GABAergic
F1S4_180124_317_H01,4.01949986,-10.41926175,GABAergic
F2S4_160201_001_A01,-7.163062253,-0.266037227,GABAergic
F2S4_160201_001_B01,0.350906989,-6.057053865,GABAergic
F2S4_160201_001_C01,-7.88639132,-1.116408409,GABAergic
F2S4_160201_001_D01,-8.303141275,-0.031628141,GABAergic
F2S4_160201_001_E01,-11.08958594,4.408645331,GABAergic
F2S4_160201_001_F01,-10.38359419,1.54811865,GABAergic
F2S4_160201_001_G01,-11.29634444,5.510861574,GABAergic
F2S4_160201_001_H01,13.8875831,0.868638574,GABAergic
F2S4_160201_002_A01,-10.29684607,5.732809721,GABAergic
F2S4_160201_002_B01,-5.623489061,0.734604775,GABAergic
F2S4_160201_002_C01,-8.917780557,4.692850767,GABAergic
F2S4_160201_002_D01,-8.378951707,-0.967994035,GABAergic
F2S4_160201_002_E01,-10.1422383,5.997540652,GABAergic
F2S4_160201_002_F01,-7.290983834,-0.434159399,GABAergic
F2S4_160201_002_G01,-10.73768393,5.816016852,GABAergic
F2S4_160201_002_H01,-10.63013426,5.508904158,GABAergic
F2S4_160201_003_A01,-6.979850927,1.530356942,GABAergic
F2S4_160201_003_B01,-10.93144862,5.434036433,GABAergic
F2S4_160201_003_C01,-10.75039164,3.937387644,GABAergic
F2S4_160201_003_D01,-11.12485758,5.513337313,GABAergic
F2S4_160201_003_E01,-10.78991477,5.285463988,GABAergic
F2S4_160201_003_F01,-11.17421786,5.108350931,GABAergic
F2S4_160201_003_G01,-11.00235812,6.350547491,GABAergic
F2S4_160201_003_H01,-7.952495256,0.893486797,GABAergic
F2S4_160201_004_A01,-11.86691634,6.823214232,GABAergic
F2S4_160201_004_B01,-8.816526094,5.319127737,GABAergic
F2S4_160201_004_C01,-6.878418603,0.103765382,GABAergic
F2S4_160201_004_D01,-5.087444463,0.829470514,GABAergic
F2S4_160201_004_E01,-10.32901351,5.357048689,GABAergic
F2S4_160201_004_F01,-10.79447714,5.328015982,GABAergic
F2S4_160201_004_G01,-6.102376142,0.983318268,GABAergic
F2S4_160201_004_H01,-8.039395967,1.977502285,GABAergic
F2S4_160201_005_A01,-10.98390166,3.717616259,GABAergic
F2S4_160201_005_B01,-10.62419955,2.03197497,GABAergic
F2S4_160201_005_C01,-8.830251374,-0.405078233,GABAergic
F2S4_160201_005_D01,-7.706611314,-0.482016803,GABAergic
F2S4_160201_005_E01,-11.50265948,3.194420038,GABAergic
F2S4_160201_005_F01,-8.262381234,-0.982582988,GABAergic
F2S4_160201_005_G01,-10.44736735,2.22008866,GABAergic
F2S4_160201_005_H01,-8.218594232,-0.806456448,GABAergic
F2S4_160202_001_A01,13.44038709,1.013193189,GABAergic
F2S4_160202_001_B01,-10.55388705,6.129561125,GABAergic
F2S4_160202_001_C01,-10.96473471,5.705497442,GABAergic
F2S4_160202_001_D01,-8.810115495,3.308817564,GABAergic
F2S4_160202_001_E01,-11.69768683,5.78814572,GABAergic
F2S4_160202_001_F01,-3.340750137,0.72178614,GABAergic
F2S4_160202_001_G01,-5.710213819,1.171891152,GABAergic
F2S4_160202_001_H01,-11.02037875,5.386063277,GABAergic
F2S4_160202_002_A01,-9.701144853,5.055000483,GABAergic
F2S4_160202_002_B01,-10.38426177,5.108440577,GABAergic
F2S4_160202_002_C01,-9.876104989,2.39397329,GABAergic
F2S4_160202_002_D01,-9.137102761,2.897272526,GABAergic
F2S4_160202_002_E01,13.64314207,0.878944217,GABAergic
F2S4_160202_002_F01,-6.966478505,3.688005387,GABAergic
F2S4_160202_002_G01,-8.547963777,2.719808756,GABAergic
F2S4_160202_002_H01,-3.541938462,0.210739254,GABAergic
F2S4_160202_003_A01,-10.01444403,6.036390005,GABAergic
F2S4_160202_003_B01,-8.08985106,4.641381441,GABAergic
F2S4_160202_003_C01,-7.186718621,3.543321549,GABAergic
F2S4_160202_003_D01,-9.035804429,2.895104109,GABAergic
F2S4_160202_003_E01,-11.20984427,1.889900147,GABAergic
F2S4_160202_003_F01,-8.32150332,2.355382143,GABAergic
F2S4_160202_003_G01,-10.75412051,3.936668097,GABAergic
F2S4_160202_003_H01,-5.720490613,2.547773539,GABAergic
F2S4_160202_004_A01,-9.201437631,4.555385767,GABAergic
F2S4_160202_004_B01,-9.202368417,4.38770312,GABAergic
F2S4_160202_004_C01,-10.03981177,5.305577456,GABAergic
F2S4_160202_004_D01,-8.46000258,-1.114880623,GABAergic
F2S4_160202_004_F01,-11.0439078,3.528308331,GABAergic
F2S4_160202_004_G01,13.9333547,1.08417791,GABAergic
F2S4_160202_004_H01,-8.909980455,-0.95865363,GABAergic
F2S4_160202_005_A01,-7.463709512,-0.575135411,GABAergic
F2S4_160202_005_B01,-8.70287005,4.975663363,GABAergic
F2S4_160202_005_C01,-10.869723,3.24773234,GABAergic
F2S4_160202_005_D01,-9.249398866,-0.506209464,GABAergic
F2S4_160202_005_E01,-8.845139184,0.406556665,GABAergic
F2S4_160202_005_F01,-10.9900767,4.201757609,GABAergic
F2S4_160202_005_G01,-9.334197679,-0.308728622,GABAergic
F2S4_160202_005_H01,-10.92897383,4.622002779,GABAergic
F2S4_160202_006_A01,14.24752077,1.08576244,GABAergic
F2S4_160202_006_B01,-7.538365998,-0.392979087,GABAergic
F2S4_160202_006_C01,-8.250656762,-0.608459861,GABAergic
F2S4_160202_006_D01,-8.274904885,-1.067442478,GABAergic
F2S4_160202_006_E01,-7.165549436,-1.109879555,GABAergic
F2S4_160202_006_F01,-5.889540353,0.112104966,GABAergic
