,UMAP_1,UMAP_2,labels
Cell1,11.92213975,-10.40242076,GABAergic
Cell2,0.814295753,-14.54574656,GABAergic
Cell3,0.804621562,-15.25454402,GABAergic
Cell4,7.906579121,-5.611737013,GABAergic
Cell5,0.179090318,-11.74456859,GABAergic
Cell6,5.95466195,6.36171937,GABAergic
Cell7,5.014615639,-6.185549021,GABAergic
Cell8,-0.853519932,-10.72561049,GABAergic
Cell9,6.492513284,-10.07335734,GABAergic
Cell10,0.54572983,-9.593726873,GABAergic
Cell11,10.75692712,-5.378244161,GABAergic
Cell12,7.560621365,-4.428009987,GABAergic
Cell13,8.111122235,-11.58470035,GABAergic
Cell14,7.824127301,-6.021190405,GABAergic
Cell15,9.410407647,-6.161907434,GABAergic
Cell16,8.991553887,-4.443163633,GABAergic
Cell17,1.374534472,-11.81289077,GABAergic
Cell18,0.74498789,-15.0695684,GABAergic
Cell19,-1.464536802,-13.81991076,GABAergic
Cell20,1.737473115,-8.546899557,GABAergic
Cell21,5.362354859,-7.408575296,GABAergic
Cell22,7.807297334,-7.911980867,GABAergic
Cell23,6.454121693,-7.455205679,GABAergic
Cell24,9.713254556,-9.486374616,GABAergic
Cell25,1.824707969,-11.78610682,GABAergic
Cell26,1.422201141,-12.5111053,GABAergic
Cell27,12.36034261,-9.50943923,GABAergic
Cell28,12.3900343,-5.080746412,GABAergic
Cell29,11.27235757,-7.662748575,GABAergic
Cell30,7.819393739,-4.338669538,GABAergic
Cell31,9.044254884,4.87975955,GABAergic
Cell32,0.808591291,-11.51177192,GABAergic
Cell33,2.439849004,-8.484703302,GABAergic
Cell34,4.717536553,-12.06865191,GABAergic
Cell35,5.078930482,-11.69782805,GABAergic
Cell36,1.457755193,-8.609677076,GABAergic
Cell37,0.562722638,-9.503354788,GABAergic
Cell38,-1.210567132,-11.48732066,GABAergic
Cell39,3.896901234,-9.677234411,GABAergic
Cell40,4.8197342,-11.23131633,GABAergic
Cell41,-0.866011397,-10.57209373,GABAergic
Cell42,3.719994172,-11.9056108,GABAergic
Cell43,9.330378159,-4.945628881,GABAergic
Cell44,8.676019295,-10.02926707,GABAergic
Cell45,1.442180737,-9.200493574,GABAergic
Cell46,5.060421571,-10.31918693,GABAergic
Cell47,7.684966668,-11.15266776,GABAergic
Cell48,-0.531012193,-12.62017131,GABAergic
Cell49,0.754755362,-13.08819079,GABAergic
Cell50,12.38610803,-6.798149824,GABAergic
Cell51,8.50195752,-11.01183581,GABAergic
Cell52,5.129757985,7.276527167,GABAergic
Cell53,11.95271169,6.264024973,GABAergic
Cell54,4.269146546,13.91289639,GABAergic
Cell55,6.940880402,9.632695437,GABAergic
Cell56,6.699907407,10.65554261,GABAergic
Cell57,0.771575912,-15.27710223,GABAergic
Cell58,4.617703542,14.30885911,GABAergic
Cell59,12.66607343,5.917145491,GABAergic
Cell60,6.726090535,11.67015386,GABAergic
Cell61,13.8268982,4.235194445,GABAergic
Cell62,6.832753762,13.75910497,GABAergic
Cell63,12.62660085,4.634062529,GABAergic
Cell64,12.82698499,5.285588026,GABAergic
Cell65,13.54721986,4.254053354,GABAergic
Cell66,10.85299073,-9.985432386,GABAergic
Cell67,7.380744084,12.61640477,GABAergic
Cell68,4.133852586,13.62531304,GABAergic
Cell69,7.391188248,13.59502816,GABAergic
Cell70,-0.089655147,-15.57230544,GABAergic
Cell71,13.57858144,4.146075964,GABAergic
Cell72,0.710970863,-14.94571471,GABAergic
Cell73,13.87717114,1.576921463,GABAergic
Cell74,11.01091729,-9.972814321,GABAergic
Cell75,6.217492207,11.88563848,GABAergic
Cell76,8.831389054,-10.61540008,GABAergic
Cell77,10.91176759,-9.933985472,GABAergic
Cell78,11.48294221,6.061179876,GABAergic
Cell79,11.8539425,12.02640653,GABAergic
Cell80,4.84894286,9.638794184,GABAergic
Cell81,13.05502568,-9.215485334,GABAergic
Cell82,5.145925626,9.358800173,GABAergic
Cell83,-0.601249949,-15.24127173,GABAergic
Cell84,13.58782349,5.498492956,GABAergic
Cell85,3.968695029,13.19884801,GABAergic
Cell86,13.17654286,-6.125935316,GABAergic
Cell87,1.76033388,-5.095824957,GABAergic
Cell88,11.05760156,6.450720549,GABAergic
Cell89,4.276739224,12.17977548,GABAergic
Cell90,13.16411839,-8.954073667,GABAergic
Cell91,-1.046469108,-14.85051608,GABAergic
Cell92,8.514934167,9.495413065,GABAergic
Cell93,12.35878907,-8.893086195,GABAergic
Cell94,2.31830655,12.16127133,GABAergic
Cell95,4.715771302,10.19371152,GABAergic
Cell96,14.5826603,5.378273249,GABAergic
Cell97,-0.823413626,-14.30436301,GABAergic
