,UMAP_1,UMAP_2,labels
human1_lib1.final_cell_0001,-12.10930956,-9.137962533,acinar
human1_lib1.final_cell_0002,-11.32389391,-8.994507028,acinar
human1_lib1.final_cell_0003,-12.84553755,-8.527761174,acinar
human1_lib1.final_cell_0004,-11.49415148,-9.212480737,acinar
human1_lib1.final_cell_0005,-11.43668211,-8.859725667,acinar
human1_lib1.final_cell_0006,-12.61941755,-8.490642739,acinar
human1_lib1.final_cell_0007,-7.327076798,9.752835082,beta
human1_lib1.final_cell_0008,-12.70207155,-8.874771787,acinar
human1_lib1.final_cell_0009,-11.38760317,-8.705864621,acinar
human1_lib1.final_cell_0010,-11.79710138,-8.786838246,acinar
human1_lib1.final_cell_0011,-11.91823423,-9.069522096,acinar
human1_lib1.final_cell_0012,-13.15666616,-8.464380933,acinar
human1_lib1.final_cell_0013,13.25609266,4.997620391,delta
human1_lib1.final_cell_0014,14.67633593,5.709399509,delta
human1_lib1.final_cell_0015,-7.722813015,6.89963417,beta
human1_lib1.final_cell_0016,1.494502182,-15.54821224,activated_stellate
human1_lib1.final_cell_0017,-5.994611149,10.0679491,beta
human1_lib1.final_cell_0018,-11.72489203,-8.092124177,acinar
human1_lib1.final_cell_0019,-4.843602066,-6.230040742,ductal
human1_lib1.final_cell_0020,-8.358929043,9.860353278,beta
human1_lib1.final_cell_0021,-7.246826058,10.80712681,beta
human1_lib1.final_cell_0022,5.515130634,1.592590617,alpha
human1_lib1.final_cell_0023,-4.492361193,-7.765052987,ductal
human1_lib1.final_cell_0024,-7.392829304,11.72391014,beta
human1_lib1.final_cell_0025,12.89001429,5.336532878,delta
human1_lib1.final_cell_0026,7.134539718,1.140124606,alpha
human1_lib1.final_cell_0027,-7.25297678,10.97786884,beta
human1_lib1.final_cell_0028,-10.10342825,-7.111282063,acinar
human1_lib1.final_cell_0029,-13.06458223,-8.935637189,acinar
human1_lib1.final_cell_0030,-6.24555624,11.37729626,beta
human1_lib1.final_cell_0031,12.54453337,4.665137099,delta
human1_lib1.final_cell_0032,14.17360937,5.578981685,delta
human1_lib1.final_cell_0033,13.28757727,5.215031909,delta
human1_lib1.final_cell_0034,13.2991501,5.710082339,delta
human1_lib1.final_cell_0035,-7.575702076,9.880296516,beta
human1_lib1.final_cell_0036,-11.50338495,-8.53614874,acinar
human1_lib1.final_cell_0037,-8.316126709,10.38510971,beta
human1_lib1.final_cell_0038,-5.841756706,11.48557548,beta
human1_lib1.final_cell_0039,-6.502579575,6.520800399,beta
human1_lib1.final_cell_0040,13.11126482,4.791719245,delta
human1_lib1.final_cell_0041,1.993785972,-15.34098263,activated_stellate
human1_lib1.final_cell_0042,-6.299652462,10.96631889,beta
human1_lib1.final_cell_0043,13.63644087,5.280368613,delta
human1_lib1.final_cell_0044,1.340918655,-15.17545242,activated_stellate
human1_lib1.final_cell_0045,0.821729059,-16.27424259,activated_stellate
human1_lib1.final_cell_0046,1.423607464,-15.28071995,activated_stellate
human1_lib1.final_cell_0047,-11.92703283,-9.200018121,acinar
human1_lib1.final_cell_0048,2.240443106,-15.19116898,activated_stellate
human1_lib1.final_cell_0049,12.71015417,5.117970275,delta
human1_lib1.final_cell_0050,-6.273674851,11.26966839,beta
human1_lib1.final_cell_0051,13.46456873,5.723207759,delta
human1_lib1.final_cell_0052,-7.733737354,10.75558643,beta
human1_lib1.final_cell_0053,-11.87347925,-8.98240347,acinar
human1_lib1.final_cell_0054,-8.576719647,9.511322784,beta
human1_lib1.final_cell_0055,-7.321261768,8.516794967,beta
human1_lib1.final_cell_0056,1.610392685,-15.11974735,activated_stellate
human1_lib1.final_cell_0057,-8.183115368,9.740370559,beta
human1_lib1.final_cell_0058,-7.855191116,9.924361991,beta
human1_lib1.final_cell_0059,-7.279263382,8.688761519,beta
human1_lib1.final_cell_0060,-7.520234471,5.826523589,beta
human1_lib1.final_cell_0061,-3.927891617,-8.39538355,ductal
human1_lib1.final_cell_0062,7.184631939,0.9072793,alpha
human1_lib1.final_cell_0063,-7.926387673,6.163939284,beta
human1_lib1.final_cell_0064,-4.247996454,-6.810282422,ductal
human1_lib1.final_cell_0065,-6.06672514,-7.574953271,ductal
human1_lib1.final_cell_0066,-12.38909376,-9.118840409,acinar
human1_lib1.final_cell_0067,5.253202553,1.71777563,alpha
human1_lib1.final_cell_0068,-7.961242561,9.894350814,beta
human1_lib1.final_cell_0069,13.76719915,5.405783938,delta
human1_lib1.final_cell_0070,5.239175434,1.610869693,alpha
human1_lib1.final_cell_0071,-7.271209603,6.140214728,beta
human1_lib1.final_cell_0072,-7.875014668,6.638683127,beta
human1_lib1.final_cell_0073,-6.716853504,8.023017692,beta
human1_lib1.final_cell_0074,13.0587908,4.69673519,delta
human1_lib1.final_cell_0075,-7.04216898,9.007360267,beta
human1_lib1.final_cell_0076,-8.156713371,10.1681879,beta
human1_lib1.final_cell_0077,13.11795008,5.009274768,delta
human1_lib1.final_cell_0078,-6.454429989,9.196200179,beta
human1_lib1.final_cell_0079,-7.732339745,10.45811539,beta
human1_lib1.final_cell_0080,-8.052091484,9.963732528,beta
human1_lib1.final_cell_0081,-7.221847897,9.37893753,beta
human1_lib1.final_cell_0082,-6.828945046,8.561759757,beta
human1_lib1.final_cell_0083,-6.702655678,11.39436321,beta
human1_lib1.final_cell_0084,-12.00958288,-8.902257634,acinar
human1_lib1.final_cell_0085,1.591653938,-15.40762348,activated_stellate
human1_lib1.final_cell_0086,13.09784376,4.979329394,delta
human1_lib1.final_cell_0087,14.34055864,5.519576835,delta
human1_lib1.final_cell_0088,-4.765543823,11.32412414,beta
human1_lib1.final_cell_0089,-7.413816338,5.873411941,beta
human1_lib1.final_cell_0090,-7.182620411,9.257524299,beta
human1_lib1.final_cell_0091,-2.851194744,11.21177463,beta
human1_lib1.final_cell_0092,-8.702847366,10.06634407,beta
human1_lib1.final_cell_0093,-7.767003422,10.49339847,beta
human1_lib1.final_cell_0094,-6.088203793,10.03434353,beta
human1_lib1.final_cell_0095,-8.149722462,9.653127479,beta
human1_lib1.final_cell_0096,-7.802370434,5.945097255,beta
human1_lib1.final_cell_0097,-8.434987908,8.801932143,beta
human1_lib1.final_cell_0098,12.95370161,4.946812915,delta
human1_lib1.final_cell_0099,12.6662985,4.829282569,delta
human1_lib1.final_cell_0100,-6.924668198,11.30058269,beta
human1_lib1.final_cell_0101,13.21531164,6.490546989,delta
human1_lib1.final_cell_0102,4.988465423,1.498674916,alpha
human1_lib1.final_cell_0103,6.939613933,1.114671754,alpha
human1_lib1.final_cell_0104,14.16601145,5.603399085,delta
human1_lib1.final_cell_0105,-6.461090927,11.05698185,beta
human1_lib1.final_cell_0106,-7.914647465,11.19580154,beta
human1_lib1.final_cell_0107,-7.178073769,6.156109618,beta
human1_lib1.final_cell_0108,-6.126798039,10.83213978,beta
human1_lib1.final_cell_0109,-11.72982348,-8.628870679,acinar
human1_lib1.final_cell_0110,12.54652464,4.381317901,delta
human1_lib1.final_cell_0111,-6.174304371,10.84366398,beta
human1_lib1.final_cell_0112,-7.351779823,7.208515929,beta
human1_lib1.final_cell_0113,13.17736303,5.168190288,delta
human1_lib1.final_cell_0114,-8.163410549,9.089476394,beta
human1_lib1.final_cell_0115,-7.60930193,9.929928588,beta
human1_lib1.final_cell_0116,-6.565323715,11.43799095,beta
human1_lib1.final_cell_0117,13.40386259,5.132625865,delta
human1_lib1.final_cell_0118,-7.769663696,8.983868407,beta
human1_lib1.final_cell_0119,13.57860243,5.386465358,delta
human1_lib1.final_cell_0120,-8.619041805,9.938195991,beta
human1_lib1.final_cell_0121,-7.987038021,9.835024642,beta
human1_lib1.final_cell_0122,-7.389049416,9.525228309,beta
human1_lib1.final_cell_0123,14.4465872,5.82473545,epsilon
human1_lib1.final_cell_0124,-7.788330441,11.16708736,beta
human1_lib1.final_cell_0125,-7.524038201,9.521666335,beta
human1_lib1.final_cell_0126,-6.740676289,11.42648773,beta
human1_lib1.final_cell_0127,4.514688129,1.794794368,delta
human1_lib1.final_cell_0128,-7.856844311,8.729227828,beta
human1_lib1.final_cell_0129,13.234079,5.294924068,delta
human1_lib1.final_cell_0130,-7.509395962,11.09876041,beta
human1_lib1.final_cell_0131,7.417582149,-0.12701757,alpha
human1_lib1.final_cell_0132,3.717978115,1.475670861,alpha
