,UMAP_1,UMAP_2,labels
D28.1_1,2.419458777,5.398525079,alpha
D28.1_2,-16.46421564,-1.263448279,endothelial
D28.1_3,0.425052524,-3.764487903,delta
D28.1_4,6.742583394,-12.817578,beta
D28.1_13,-13.81844461,-3.70720927,duct
D28.1_15,6.798361898,6.64548095,alpha
D28.1_17,4.249091625,3.546020825,alpha
D28.1_26,-16.77472246,-1.06051008,endothelial
D28.1_29,3.102594972,6.734194596,alpha
D28.1_30,3.133137286,5.702204068,alpha
D28.1_37,-9.761175513,5.187077363,acinar
D28.1_38,-9.166633963,5.894672234,acinar
D28.1_39,5.659334302,3.094933589,alpha
D28.1_40,2.448359013,6.085874398,alpha
D28.1_41,1.049885273,5.702755292,alpha
D28.1_43,5.061896205,-6.195941608,beta
D28.1_49,-11.94644296,-2.722007196,beta
D28.1_50,-9.716050505,5.411755402,acinar
D28.1_51,3.862617731,7.55574878,alpha
D28.1_52,-12.85776651,-2.67603771,duct
D28.1_55,-8.420784354,4.664423545,acinar
D28.1_61,0.744227767,-3.814468066,delta
D28.1_62,-9.902927756,5.549532254,acinar
D28.1_63,5.563886285,5.379598935,alpha
D28.1_65,5.765970588,-10.16800849,beta
D28.1_66,-12.3660711,-2.585002105,duct
D28.1_67,-8.863475203,4.547437747,acinar
D28.1_68,-9.922724128,5.955753167,acinar
D28.1_73,-9.676468253,4.791151841,acinar
D28.1_74,-3.373247981,3.217686017,alpha
D28.1_75,1.130640388,7.086668809,alpha
D28.1_76,-4.242450595,1.129126836,pp
D28.1_77,-10.38722932,-2.903080146,duct
D28.1_80,-10.29744184,-2.807199399,duct
D28.1_85,-8.801627517,6.993408997,pp
D28.1_86,-9.297678351,4.009854634,acinar
D28.1_87,-8.477120757,7.866697152,acinar
D28.1_88,5.154248595,6.410496552,alpha
D28.1_89,0.508602739,-3.330154578,delta
D28.1_90,-12.6365875,-2.779556911,duct
D28.1_91,-10.44132555,-2.03904144,duct
D28.2_1,-8.883689284,5.980785687,acinar
D28.2_2,3.100352764,7.297850926,alpha
D28.2_4,-9.948193908,6.660728772,acinar
D28.2_5,3.043868303,7.060781319,alpha
D28.2_13,-9.678713202,-4.915076892,duct
D28.2_15,-9.7092489,6.405878384,acinar
D28.2_16,-12.99942243,-2.856105726,duct
D28.2_17,-12.84911478,-2.380081575,duct
D28.2_18,-7.961135268,8.007823785,acinar
D28.2_26,-12.29528654,-3.370702903,duct
D28.2_28,3.178419054,5.715731938,alpha
D28.2_29,-12.79350126,-3.639548938,duct
D28.2_37,-4.094179034,3.104852517,alpha
D28.2_38,7.269282937,-12.86007659,beta
D28.2_39,-9.07323873,6.976731618,acinar
D28.2_40,-12.59149587,-3.22567908,duct
D28.2_41,-3.710142016,8.652236302,mesenchymal
D28.2_42,-9.014374137,6.71835645,acinar
D28.2_43,2.70242416,5.08763345,alpha
D28.2_49,-8.884864211,3.842871506,acinar
D28.2_51,3.224923551,5.74914201,alpha
D28.2_52,3.063979984,5.467002709,alpha
D28.2_53,-9.475158095,3.63318332,acinar
D28.2_61,-10.21148431,6.445924123,acinar
D28.2_63,-4.422057032,3.263701279,pp
D28.2_64,-9.74729383,-4.63772599,duct
D28.2_65,2.640056282,5.944012482,alpha
D28.2_66,-14.80336893,-0.596500437,duct
D28.2_68,5.759344936,5.955926736,alpha
D28.2_73,7.928022504,-13.10361163,beta
D28.2_74,-9.242747664,5.033957799,acinar
D28.2_75,-10.69168603,4.4763604,acinar
D28.2_76,-16.39900339,-1.083888809,endothelial
D28.2_78,-8.844912886,3.324678261,beta
D28.2_79,-14.53333414,0.004504223,duct
D28.2_85,2.505749956,5.256572564,alpha
D28.2_86,-8.923924804,7.087457497,acinar
D28.2_87,-8.875295043,5.09104522,acinar
D28.2_89,-8.669732451,7.178331692,acinar
D28.2_90,-0.154383778,3.779349644,alpha
D28.2_91,-5.028982043,3.05762132,pp
D28.3_3,3.484903991,5.218732197,alpha
D28.3_4,-9.512355208,4.111315568,acinar
D28.3_5,2.620929837,7.746311028,alpha
D28.3_6,6.044672609,-11.38855521,beta
D28.3_7,2.962408841,6.091584046,alpha
D28.3_8,4.232519508,4.723220666,alpha
D28.3_13,1.840147913,5.729957421,alpha
D28.3_14,-5.059339404,3.092031319,pp
D28.3_15,3.481239021,6.635819752,alpha
D28.3_16,0.814307571,-3.788488071,delta
D28.3_17,-14.79507387,-0.647013109,duct
D28.3_18,-4.650064349,2.309294422,pp
D28.3_25,-9.6390661,6.548332055,acinar
D28.3_26,-9.054090857,5.312137921,acinar
D28.3_27,5.394261003,-13.13141505,beta
D28.3_28,-8.777169585,5.038638909,acinar
D28.3_29,-12.40748727,-3.167225997,duct
D28.3_30,7.564040303,-10.79058043,beta
D28.3_31,-7.423813224,8.047606786,acinar
D28.3_37,5.561403156,-13.17073695,beta
D28.3_38,3.124270618,5.741937955,alpha
D28.3_40,-9.124369025,5.31649812,acinar
D28.3_41,8.147810579,-12.946654,beta
D28.3_42,3.809574962,6.818904717,alpha
D28.3_43,-16.47000825,-0.990829031,endothelial
D28.3_44,-9.38514173,6.795696576,acinar
D28.3_49,-12.71398962,-3.26625077,duct
D28.3_50,-8.778773665,5.997568448,acinar
D28.3_51,-9.534231543,5.423353989,acinar
D28.3_52,-9.154661536,4.481598456,acinar
D28.3_53,-10.81399381,-4.411823909,duct
D28.3_54,-13.27036226,-3.371956985,duct
D28.3_55,3.999035001,3.028680165,alpha
D28.3_61,1.165773392,-2.888167302,delta
D28.3_62,-10.87800443,4.982162793,acinar
