,UMAP_1,UMAP_2,labels
AZ_A10,-5.463493075,-7.496400072,delta
AZ_A11,-7.765922751,6.254403399,alpha
AZ_A12,-5.038110937,-7.690255834,delta
AZ_A2,2.470703338,-3.767085029,gamma
AZ_A6,-9.50808164,7.540451334,alpha
AZ_A7,8.492355619,7.042968081,acinar
AZ_A8,4.254499708,-11.17144461,beta
AZ_B1,-5.5707657,-7.543212129,delta
AZ_B10,-5.255882944,-7.658321573,delta
AZ_B11,-7.217640127,5.728446768,co-expression
AZ_B12,-7.192901816,5.618256376,alpha
AZ_B2,-7.376596655,5.674383448,alpha
AZ_B3,-7.365152563,5.951134489,alpha
AZ_B5,-7.128664221,5.591367052,alpha
AZ_B8,8.495559488,4.916139887,acinar
AZ_B9,-7.181585516,5.809630201,alpha
AZ_C1,-7.35747167,5.808491037,alpha
AZ_C10,3.956581031,-11.37477656,beta
AZ_C11,-5.421302523,-7.904912664,delta
AZ_C2,-7.550646986,5.979976462,alpha
AZ_C3,11.47406748,-0.50094135,ductal
AZ_C4,3.915617977,-11.79304953,beta
AZ_C5,-7.573579039,5.925841616,alpha
AZ_C8,-7.646389212,5.999888704,alpha
AZ_C9,11.37301425,-2.258192195,ductal
AZ_D12,2.116699894,-3.775937511,gamma
AZ_D2,3.969372187,-11.67417498,beta
AZ_D3,-7.828755583,6.027395533,alpha
AZ_D4,-7.585720267,5.934243963,alpha
AZ_D5,-5.500381674,-7.76386471,delta
AZ_D6,4.112124,-11.54892035,beta
AZ_D7,-7.275500502,5.72603874,alpha
AZ_D8,2.851939057,-4.147241785,gamma
AZ_D9,-7.356994833,5.734640406,alpha
AZ_E12,-9.463028158,8.196638392,alpha
AZ_E2,-7.357290472,5.497108744,alpha
AZ_E3,13.69008998,-8.13532181,MHC class II
AZ_E4,-9.385299887,6.475097464,alpha
AZ_E5,-7.178635801,5.58519821,alpha
AZ_E7,3.393152867,-11.65888853,beta
AZ_E8,-7.218276228,5.702240751,alpha
AZ_E9,-7.311411108,5.765960024,alpha
AZ_F1,4.103508983,-11.63437624,beta
AZ_F2,4.09234861,-11.390907,beta
AZ_F4,-7.305677618,5.649210737,alpha
AZ_F5,15.4044216,-8.450121595,PSC
AZ_F6,8.509815965,7.055826471,acinar
AZ_F7,4.149635826,-11.42337961,co-expression
AZ_F8,-7.100181784,5.78153734,alpha
AZ_F9,12.96444014,-1.840460493,ductal
AZ_G1,-7.242634978,5.687105463,alpha
AZ_G10,-7.160712446,5.540184305,alpha
AZ_G2,4.179722343,-11.46532316,beta
AZ_G3,-7.778600897,6.270278261,alpha
AZ_G4,-7.422378744,5.756404684,alpha
AZ_G5,1.790080775,-3.550551607,gamma
AZ_G6,-5.353003229,-7.858321859,co-expression
AZ_H1,-5.206515516,-8.139570906,delta
AZ_H10,8.793757234,5.689413355,acinar
AZ_H11,4.141966377,-11.52554197,beta
AZ_H12,1.734547172,-3.740287973,gamma
AZ_H2,4.025481377,-11.39077826,beta
AZ_H5,1.773109649,-3.720477297,gamma
AZ_H6,4.175013815,-11.06022043,beta
AZ_H9,-7.387273039,5.743019865,alpha
HP1502401_A10,3.753881489,-11.06278486,beta
HP1502401_A12,-9.869206633,6.612243937,alpha
HP1502401_A14,8.435806547,4.749731825,acinar
HP1502401_A15,-9.580335821,8.372298525,alpha
HP1502401_A17,-6.894068922,6.30219631,alpha
HP1502401_A18,-5.405215944,-7.174648477,delta
HP1502401_A2,-5.498191561,-6.750736906,delta
HP1502401_A22,8.611415659,4.885133074,acinar
HP1502401_A24,-5.304868902,-7.5754797,delta
HP1502401_A4,-8.817073073,6.606541918,alpha
HP1502401_A6,3.700029884,-11.58555765,beta
HP1502401_A7,2.416240547,-10.73218985,beta
HP1502401_B1,3.470821653,-11.91943903,beta
HP1502401_B10,-5.695997919,1.702575014,alpha
HP1502401_B11,2.410118703,-4.675200655,gamma
HP1502401_B14,3.264441167,-11.14611883,beta
HP1502401_B15,3.107213412,-4.221950724,gamma
HP1502401_B16,-9.093154158,7.003096865,alpha
HP1502401_B17,8.625494276,5.078862475,acinar
HP1502401_B18,1.713945721,-4.188451244,gamma
HP1502401_B20,-9.734523024,7.306824015,alpha
HP1502401_B21,3.048204575,-11.87883349,beta
HP1502401_B23,3.755595837,-10.94484015,beta
HP1502401_B24,3.143457328,-11.42269106,beta
HP1502401_B5,-9.947885718,6.038172529,alpha
HP1502401_B7,3.41681305,-11.21368189,beta
HP1502401_B8,-5.346522536,-7.697720243,delta
HP1502401_C1,8.874338423,5.352088736,acinar
HP1502401_C10,3.191809927,-11.27948733,beta
HP1502401_C12,10.30852393,-0.983545704,ductal
HP1502401_C14,-9.447056021,6.519357966,alpha
HP1502401_C16,-8.808206762,6.710184382,alpha
HP1502401_C18,3.225849901,-10.98817511,beta
HP1502401_C20,-5.214726652,-7.295603468,delta
HP1502401_C21,3.630709325,-10.80664416,beta
HP1502401_C4,-9.185588087,5.359837816,alpha
HP1502401_C5,-4.832619394,-7.421147062,delta
HP1502401_C6,3.372321401,-11.21961374,beta
HP1502401_C7,3.266525541,-11.33061571,beta
HP1502401_C8,-5.252960409,-7.24192877,delta
HP1502401_D10,8.14673451,4.971664236,acinar
HP1502401_D12,-5.531540121,-6.870587541,delta
HP1502401_D13,3.814923797,-11.49665899,beta
HP1502401_D16,-9.270225729,7.235423372,alpha
HP1502401_D17,-5.253151621,-7.746171667,delta
HP1502401_D18,10.62752036,-0.186367943,ductal
HP1502401_D2,8.445873056,6.258847998,acinar
HP1502401_D20,-9.979625906,7.223913477,alpha
HP1502401_D22,3.284268056,-11.14536638,beta
HP1502401_D24,-9.292219366,5.979926394,alpha
HP1502401_D3,2.924115692,-11.06293936,beta
HP1502401_D4,10.852289,-1.725590928,ductal
HP1502401_D5,-8.96278974,6.574388788,alpha
HP1502401_D6,3.436165844,-11.3596427,beta
HP1502401_D7,3.849537407,-10.90180464,beta
HP1502401_D8,-7.36060449,5.511829184,alpha
HP1502401_E10,2.995781635,-12.03787966,beta
HP1502401_E11,-8.542756285,6.958024309,alpha
HP1502401_E14,-0.357289995,-3.842041685,epsilon
HP1502401_E16,-9.475675787,6.830215738,alpha
HP1502401_E17,1.846134473,-3.611125185,alpha
HP1502401_E19,3.211350356,-11.42256136,beta
HP1502401_E2,7.728785311,5.059459971,acinar
HP1502401_E20,8.408309732,4.976168917,acinar
HP1502401_E21,-8.237193312,6.780837343,alpha
HP1502401_E22,3.262535487,-10.87725229,co-expression
HP1502401_E23,8.573414598,6.801629351,acinar
HP1502401_E24,8.37290505,4.908314512,acinar
HP1502401_E3,-5.188017573,-7.56184025,delta
HP1502401_E5,2.607901548,-4.020719959,gamma
HP1502401_E6,-9.734390463,6.510556505,alpha
HP1502401_E7,3.009607647,-4.243676617,gamma
HP1502401_E9,-5.380764689,-7.382337286,delta
HP1502401_F10,-9.601726736,7.372720049,alpha
HP1502401_F11,-5.002657618,-7.101886465,delta
HP1502401_F12,-9.26761743,6.492880629,alpha
HP1502401_F13,8.380513941,4.878484057,acinar
HP1502401_F15,1.918927517,-4.214877321,gamma
HP1502401_F16,3.201174055,-10.9224946,beta
HP1502401_F17,2.00712514,-4.076853229,gamma
HP1502401_F18,2.042545761,-3.771443321,gamma
HP1502401_F19,-9.937097754,7.450030611,alpha
HP1502401_F20,-9.241758551,6.355903433,alpha
HP1502401_F21,3.110134397,-11.24229689,beta
HP1502401_F22,3.855028783,-10.67856093,beta
HP1502401_F23,-9.983082022,5.540688322,alpha
HP1502401_F24,3.043996845,-11.06261702,beta
HP1502401_F4,-9.282334532,7.103607462,alpha
HP1502401_F9,2.718124722,-10.88931151,beta
HP1502401_G10,-5.694655146,1.699441479,alpha
HP1502401_G11,2.403498296,-4.489256098,gamma
HP1502401_G12,2.109262359,-4.742247297,gamma
HP1502401_G14,3.12295023,-11.67840452,beta
HP1502401_G18,7.897359167,4.868430422,acinar
HP1502401_G20,-5.005087103,-7.424505426,delta
HP1502401_G22,3.506271993,-11.35182066,beta
HP1502401_G23,10.45852259,-0.271860315,ductal
HP1502401_G24,3.248919879,-11.19653006,beta
HP1502401_G3,-4.989497866,-7.73878689,delta
HP1502401_G4,3.136389051,-11.2916524,beta
HP1502401_G5,3.152028833,-11.17717238,beta
HP1502401_G6,3.517780696,-10.96283217,beta
HP1502401_G7,-9.770738806,4.96515827,alpha
HP1502401_G8,-8.862845625,6.456044958,alpha
HP1502401_H1,-9.51801988,6.638540552,alpha
HP1502401_H11,3.685980116,-11.73719759,beta
HP1502401_H12,2.439955328,-10.9193656,beta
HP1502401_H14,-9.688606466,7.230276392,alpha
HP1502401_H15,-9.882030691,6.756650255,alpha
HP1502401_H16,-9.668291296,8.073016451,alpha
HP1502401_H18,15.06062296,-8.256506159,PSC
HP1502401_H19,3.335213338,-11.44271155,beta
HP1502401_H2,-9.571223463,5.6100543,alpha
HP1502401_H20,-9.497356619,6.869047449,alpha
HP1502401_H21,10.34842566,0.064677284,ductal
HP1502401_H22,3.07639495,-11.63590498,beta
HP1502401_H23,10.60770968,-0.591542854,ductal
HP1502401_H24,-9.460849013,6.966450022,alpha
HP1502401_H3,-9.801233496,7.455866144,alpha
HP1502401_H4,-9.632743086,6.760148333,alpha
HP1502401_H5,-9.123741354,4.859507368,alpha
HP1502401_H6,-5.439146246,-7.265504553,delta
HP1502401_H7,-9.626721586,6.533944891,alpha
HP1502401_H8,-9.8592703,7.059875773,alpha
HP1502401_I1,-9.252883162,6.709410952,alpha
HP1502401_I12,13.15663127,-8.931256964,endothelial
HP1502401_I14,8.991085325,5.030045317,acinar
HP1502401_I15,-9.460087027,6.844127939,alpha
HP1502401_I16,-9.015402998,6.44956188,alpha
HP1502401_I18,-9.754373755,5.920918749,alpha
HP1502401_I2,10.25034026,-0.185519053,ductal
HP1502401_I21,11.35340289,-1.687354638,ductal
HP1502401_I22,-9.275967802,6.728849695,alpha
HP1502401_I23,-7.288045134,3.237404631,alpha
HP1502401_I24,3.003064369,-11.48215075,beta
HP1502401_I4,-7.099081244,3.144525812,alpha
HP1502401_I6,2.383212392,-11.9844224,beta
HP1502401_I7,-5.309549536,-7.261504366,delta
HP1502401_I8,1.997636054,-3.537066175,gamma
HP1502401_I9,-5.687089171,-7.241993143,delta
HP1502401_J1,-9.740389075,7.115828798,alpha
HP1502401_J10,3.279933844,-11.34989233,beta
HP1502401_J11,-9.548480238,7.743215845,alpha
HP1502401_J12,2.568171893,-12.72851916,beta
HP1502401_J14,-9.343368735,7.437212275,alpha
HP1502401_J15,10.08122805,-0.607679142,ductal
HP1502401_J17,11.11556128,-1.262512027,ductal
HP1502401_J18,-9.18707868,7.112739847,alpha
HP1502401_J19,10.59432009,0.086716221,ductal
HP1502401_J2,8.140136991,4.746618555,acinar
HP1502401_J20,-9.635040487,7.27369623,alpha
HP1502401_J21,-9.52577516,7.031400011,alpha
HP1502401_J22,3.341823135,-11.36934061,beta
HP1502401_J23,-9.123989309,6.897851275,alpha
HP1502401_J24,10.0825508,-0.597586467,ductal
HP1502401_J4,-8.958539213,6.417577074,alpha
HP1502401_J6,-9.657341208,7.539655016,alpha
HP1502401_J7,13.55148486,-8.131735994,mast
HP1502401_J8,-9.112446036,7.302287386,alpha
HP1502401_K1,-9.247860159,6.994122789,alpha
HP1502401_K10,8.611428533,4.948636816,acinar
HP1502401_K11,-9.714614119,6.577836321,alpha
