,UMAP_1,UMAP_2,labels
F1S4_160108_001_A01,6.512356431,-9.485445573,GABAergic
F1S4_160108_001_B01,-6.050674765,-9.862719133,GABAergic
F1S4_160108_001_C01,-5.030060141,-10.08593424,GABAergic
F1S4_160108_001_D01,0.924993009,-13.62582166,GABAergic
F1S4_160108_001_E01,-8.015505641,-11.81365259,GABAergic
F1S4_160108_001_F01,-5.384224742,-4.796041086,GABAergic
F1S4_160108_001_G01,10.78297153,-12.94919737,GABAergic
F1S4_160108_001_H01,-2.056278794,-12.1511503,GABAergic
F1S4_160108_002_A01,3.361432702,-8.809132173,GABAergic
F1S4_160108_002_B01,-8.884725421,-13.16727216,GABAergic
F1S4_160108_002_C01,5.360332639,-14.4595228,GABAergic
F1S4_160108_002_D01,-0.552505581,-14.77050836,GABAergic
F1S4_160108_002_E01,5.693447263,-7.044270112,GABAergic
F1S4_160108_002_F01,1.248603136,-13.20835932,GABAergic
F1S4_160108_002_G01,2.921059759,-14.88076074,GABAergic
F1S4_160108_002_H01,0.233960659,-15.49883898,GABAergic
F1S4_160108_003_A01,-8.027797549,-10.70588262,GABAergic
F1S4_160108_003_B01,-4.401717513,-10.01354082,GABAergic
F1S4_160108_003_C01,-3.039289324,-10.5016094,GABAergic
F1S4_160108_003_D01,-8.317335932,-12.37653883,GABAergic
F1S4_160108_003_E01,9.294769437,-11.7989765,GABAergic
F1S4_160108_003_F01,1.811367662,-11.53672083,GABAergic
F1S4_160108_003_G01,-0.713163822,-10.31730135,GABAergic
F1S4_160108_003_H01,3.547894866,-9.500887468,GABAergic
F1S4_160108_004_A01,-1.892036049,-12.50624044,GABAergic
F1S4_160108_004_B01,-7.985302775,-10.62210806,GABAergic
F1S4_160108_004_C01,2.070805819,-10.90881498,GABAergic
F1S4_160108_004_D01,5.667084367,-10.11658724,GABAergic
F1S4_160108_004_E01,6.691239984,-14.26630457,GABAergic
F1S4_160108_004_F01,5.997962148,-12.47577245,GABAergic
F1S4_160108_004_G01,0.403439895,-14.98387678,GABAergic
F1S4_160108_004_H01,-2.413766949,-5.190231397,GABAergic
F1S4_160108_005_A01,-8.673696368,-11.95139749,GABAergic
F1S4_160108_005_B01,-8.40546593,-14.08956201,GABAergic
F1S4_160108_005_C01,-4.413233607,-14.57444055,GABAergic
F1S4_160108_005_D01,-3.911636679,-14.43415029,GABAergic
F1S4_160108_005_E01,-8.654949992,-13.55212648,GABAergic
F1S4_160108_005_F01,-9.14409241,-12.31538637,GABAergic
F1S4_160108_005_G01,-1.715679019,-12.25986822,GABAergic
F1S4_160108_005_H01,-6.301600783,-13.75584276,GABAergic
F1S4_160108_006_A01,-5.123207896,-14.70888193,GABAergic
F1S4_160108_006_B01,-1.512924044,-12.35847242,GABAergic
F1S4_160108_006_C01,-4.021402686,-14.14784773,GABAergic
F1S4_160108_006_D01,3.201140077,-15.19281728,GABAergic
F1S4_160108_006_E01,5.508564145,-9.892616823,GABAergic
F1S4_160108_006_F01,-9.574173777,-13.12616594,GABAergic
F1S4_160108_006_G01,-6.474298804,-14.3841625,GABAergic
F1S4_160108_006_H01,4.632718713,-7.201952054,GABAergic
F1S4_160108_007_A01,-8.108613818,-11.3508497,GABAergic
F1S4_160108_007_B01,-7.235517829,-9.83706434,GABAergic
F1S4_160108_007_C01,6.838942201,-13.24954279,GABAergic
