,UMAP_1,UMAP_2,labels
Sample_1,6.914430645,5.180701084,beta
Sample_2,9.128676918,4.365931339,beta
Sample_3,6.947367695,4.470661543,beta
Sample_4,7.385104922,4.367249011,beta
Sample_5,9.436565903,7.575994379,beta
Sample_6,7.033877638,4.841815598,beta
Sample_7,8.290956047,5.135566301,beta
Sample_8,6.345417169,5.290450818,beta
Sample_9,8.337935952,5.431281216,beta
Sample_10,7.519907263,5.122372396,beta
Sample_11,10.79917767,7.337150938,beta
Sample_12,7.058126953,4.086283884,beta
Sample_13,8.661696461,4.883845575,beta
Sample_14,6.98154929,5.802642829,beta
Sample_15,7.346846369,4.200691424,beta
Sample_16,7.429986027,4.398451313,beta
Sample_17,8.334639815,5.23355288,beta
Sample_18,6.919911888,6.418014414,beta
Sample_19,7.127784279,6.024848945,beta
Sample_20,7.070174244,6.732237942,beta
Sample_21,7.574016121,4.989975519,beta
Sample_22,6.531670359,5.897508747,beta
Sample_23,6.941324023,6.395089991,beta
Sample_24,6.688740519,5.04361356,beta
Sample_25,7.121197966,4.611323065,beta
Sample_26,8.193124798,4.421341195,beta
Sample_27,8.612277296,3.955499477,beta
Sample_28,9.012225655,4.401130206,beta
Sample_29,10.79687217,7.460549957,beta
Sample_30,7.734363106,6.889987118,beta
Sample_32,9.196052578,4.475498087,beta
Sample_33,7.872585085,7.133899815,beta
Sample_34,9.566181687,6.93982423,beta
Sample_35,7.250995425,5.445281155,beta
Sample_36,8.577392367,4.915857918,beta
Sample_37,7.828651455,7.21578253,beta
Sample_38,7.187246588,5.532002814,beta
Sample_39,8.192159441,5.928179271,beta
Sample_40,7.465890911,5.114979453,beta
Sample_41,10.6971226,6.590426571,beta
Sample_42,7.273224858,5.12639416,beta
Sample_44,10.56648448,7.592511065,beta
Sample_45,10.6022034,7.039944775,beta
Sample_46,9.469270733,6.580798514,beta
Sample_47,7.933777598,5.122237153,beta
Sample_48,6.821907786,4.966048188,beta
Sample_49,7.426392344,5.63758064,beta
Sample_50,6.893399742,4.662190593,beta
Sample_51,10.79117587,7.575260288,beta
Sample_52,7.53496888,5.703873403,beta
Sample_53,8.074772862,4.521539948,beta
Sample_54,8.250844267,4.155159108,beta
Sample_55,7.173897532,5.786145694,beta
Sample_56,7.298690584,4.609529443,beta
Sample_57,7.975980786,4.203171238,beta
Sample_58,7.333406237,4.607140637,beta
Sample_59,7.262811688,4.487253792,beta
Sample_60,7.830679444,5.920648105,beta
Sample_61,7.993803528,4.748545952,beta
Sample_62,8.798316506,4.947391278,beta
Sample_63,8.59216502,5.576765187,beta
Sample_64,8.826486615,5.464142091,beta
Sample_65,8.820837048,4.324416739,beta
Sample_66,8.280731228,5.26692111,beta
Sample_67,8.102270153,4.924207575,beta
Sample_68,7.805388001,5.367356546,beta
Sample_69,7.800136116,4.699451602,beta
Sample_71,8.700408009,4.759093142,beta
Sample_72,7.925152806,5.194246955,beta
Sample_74,8.602137354,4.47538302,beta
Sample_75,8.259291199,6.009444601,beta
Sample_76,8.476682213,4.75735221,beta
Sample_77,9.601064709,4.299610661,beta
Sample_78,9.73059037,4.772172488,beta
Sample_79,7.649001625,5.582321651,beta
Sample_80,7.801668194,5.47191108,beta
Sample_81,9.559720066,4.930534012,beta
Sample_82,8.863198784,7.395494349,beta
Sample_83,8.099059609,5.796239502,beta
Sample_84,6.774616984,5.656328208,beta
Sample_85,7.665179041,5.55449701,beta
Sample_86,9.172281292,4.407760165,beta
Sample_87,9.473899868,4.398328259,beta
Sample_88,8.386079815,3.907895989,beta
Sample_89,9.559700039,4.106329314,beta
Sample_90,7.863742855,4.12099155,beta
Sample_91,10.1116071,4.283729091,beta
Sample_92,9.284486321,5.627406008,beta
Sample_93,8.742328671,3.891360171,beta
Sample_95,8.225347307,5.348819978,beta
Sample_96,8.613678244,4.533513568,beta
Sample_97,9.433043984,7.27479089,beta
Sample_98,9.511023548,6.675755865,beta
Sample_99,8.504796294,5.584604032,beta
Sample_100,7.14654806,6.800779707,beta
Sample_101,8.40041354,4.775396205,beta
Sample_102,7.82577875,4.277842845,beta
Sample_103,6.948159722,4.722250617,beta
Sample_104,9.832093743,6.376039154,beta
Sample_105,8.50819042,6.524149067,beta
Sample_106,7.441287306,4.816617019,beta
Sample_107,9.093690422,4.234844475,beta
Sample_108,9.030707863,4.037814803,beta
