,tSNE_1,tSNE_2
Cell1,-10.78445308,7.094786538
Cell2,-2.987738302,12.81580438
Cell3,-2.972816636,13.15956582
Cell4,-8.21794956,4.723145856
Cell5,-3.940140893,11.67077531
Cell6,-7.302468469,-9.897653686
Cell7,-6.027172735,5.352670564
Cell8,-4.282290151,7.817652596
Cell9,-6.699031522,8.620271577
Cell10,-3.728394201,10.75693406
Cell11,-9.753224065,4.753255261
Cell12,-8.091525724,4.27297057
Cell13,-7.817009618,8.451689614
Cell14,-8.226925542,5.167045487
Cell15,-9.063710859,5.161519421
Cell16,-8.505779912,4.346925153
Cell17,-3.447134902,11.616969
Cell18,-3.005989721,13.29073228
Cell19,-4.059800317,13.22889413
Cell20,-3.752844503,10.0802039
Cell21,-6.343807866,5.814943208
Cell22,-8.584863355,6.376309766
Cell23,-7.565271547,5.99907626
Cell24,-9.700145414,6.888744725
Cell25,-4.726037195,7.940725221
Cell26,-3.600089004,11.88716973
Cell27,-11.35898178,6.796436681
Cell28,-10.98333519,4.466929807
Cell29,-10.2093312,5.573640717
Cell30,-8.285760572,4.425177468
Cell31,-8.663890531,-8.209724532
Cell32,-3.735734632,11.47961797
Cell33,-4.022907426,9.943220033
Cell34,-5.323424508,8.670546426
Cell35,-5.502167394,8.647984399
Cell36,-3.755130222,10.15678014
Cell37,-3.590596607,10.52113236
Cell38,-4.233061483,7.887087716
Cell39,-4.814058473,9.736622704
Cell40,-5.414717843,8.885765923
Cell41,-4.276281049,7.740892781
Cell42,-5.23461025,8.484124078
Cell43,-8.849034002,4.381449593
Cell44,-8.259555509,7.862115754
Cell45,-3.655794074,10.4478053
Cell46,-5.24977987,9.308311356
Cell47,-7.857166936,8.382467164
Cell48,-4.131491353,12.4032544
Cell49,-3.590064218,12.3288411
Cell50,-10.85485809,5.185814751
Cell51,-8.066311529,8.343047036
Cell52,-6.921530416,-10.2437297
Cell53,-8.315526655,-6.036589728
Cell54,-2.802687814,-12.10157691
Cell55,-5.256876161,-9.627309905
Cell56,-4.766885927,-9.943834411
Cell57,-3.139127662,13.44705953
Cell58,-2.833369186,-12.02736007
Cell59,-8.331153562,-5.872451888
Cell60,-4.163668325,-10.02161323
Cell61,-9.192226102,-5.527271854
Cell62,-3.162313154,-10.17207538
Cell63,-9.017325094,-6.127377616
Cell64,-8.632130315,-5.692848312
Cell65,-9.212376287,-5.529433356
Cell66,-10.59812992,7.074102773
Cell67,-3.677156379,-9.921692001
Cell68,-3.146847656,-12.03019725
Cell69,-3.325403621,-9.967036353
Cell70,-3.051476886,13.28019418
Cell71,-9.241479566,-5.454275237
Cell72,-3.007733753,13.2222022
Cell73,-12.11645954,-2.082027541
Cell74,-10.55870407,7.163312806
Cell75,-4.19938772,-10.22423469
Cell76,-8.224689176,8.236396684
Cell77,-10.45482605,7.010480775
Cell78,-8.54593723,-5.996584521
Cell79,-4.527249982,-6.726393806
Cell80,-5.520595243,-10.96092712
Cell81,-11.5930516,6.808190717
Cell82,-5.637973478,-10.86363708
Cell83,-3.297285726,13.46819104
Cell84,-8.748246839,-5.209872829
Cell85,-3.278510263,-12.08654986
Cell86,-11.19612472,5.116464032
Cell87,-5.232112577,3.159881247
Cell88,-7.657311609,-6.525606738
Cell89,-3.767368724,-12.08050357
Cell90,-11.73292606,6.551918877
Cell91,-3.652548482,13.5908965
Cell92,-5.161299875,-8.720954047
Cell93,-11.22950905,6.651194943
Cell94,-3.811528375,-12.96789466
Cell95,-5.021726301,-11.45077048
Cell96,-8.941317251,-5.160768138
Cell97,-3.767674138,13.1807908
Cell98,-3.886256387,-12.96386634
Cell99,-3.54884093,13.54388417
Cell100,-5.742430379,6.197044743
Cell101,-8.898282697,-5.361304866
Cell102,-3.528865745,-12.74647723
Cell103,-10.17556923,-9.689698325
Cell104,-4.04081743,-12.52242766
Cell105,-11.6575505,7.126760377
Cell106,-2.783102443,-11.93834602
Cell107,-8.222301176,-5.51378213
Cell108,-0.185311814,2.5145656
Cell109,0.706912527,2.144945754
Cell110,-0.631766548,2.035453452
Cell111,-0.990508964,1.771623267
Cell112,-0.485477974,2.250047339
Cell113,-0.267153283,2.425118579
