"","tSNE_1","tSNE_2"
"human1_lib1.final_cell_0001",7.91911316373747,-34.8542916194443
"human1_lib1.final_cell_0002",20.6014413808019,-30.8965475306928
"human1_lib1.final_cell_0003",6.23070812483336,-21.2234024892183
"human1_lib1.final_cell_0004",20.0102252048615,-29.6448132044076
"human1_lib1.final_cell_0005",17.4594421601657,-22.3168864427435
"human1_lib1.final_cell_0006",9.33233649976864,-28.9186122943063
"human1_lib1.final_cell_0007",-7.4616996606786,28.8315886448357
"human1_lib1.final_cell_0008",9.64388599801043,-29.6169239578059
"human1_lib1.final_cell_0009",21.8475055802502,-28.422981252073
"human1_lib1.final_cell_0010",9.10189644937783,-36.0966670252362
"human1_lib1.final_cell_0011",16.8985284654594,-28.6031920935768
"human1_lib1.final_cell_0012",0.506628650226858,-29.1185468056091
"human1_lib1.final_cell_0013",-13.4621520039563,1.41154004299524
"human1_lib1.final_cell_0014",-1.60133346515549,26.7134872567653
"human1_lib1.final_cell_0015",-1.47569607750449,16.2890748582646
"human1_lib1.final_cell_0016",-29.1536204248793,-29.5939342928195
"human1_lib1.final_cell_0017",-30.3878170830454,10.8297435563067
"human1_lib1.final_cell_0018",14.2928815446203,-34.8256203256415
"human1_lib1.final_cell_0019",44.447496716809,-10.3879991343093
"human1_lib1.final_cell_0020",-33.6231143955861,-6.67035368521502
"human1_lib1.final_cell_0021",-35.1514295113225,-2.76070480428901
"human1_lib1.final_cell_0022",-9.23950792675476,18.3637448038953
"human1_lib1.final_cell_0023",36.2143905382963,9.26301307650102
"human1_lib1.final_cell_0024",-35.0038224665075,-3.37163583999108
"human1_lib1.final_cell_0025",-11.8775071119937,7.05945840444276
"human1_lib1.final_cell_0026",-18.3254228421556,11.4618804436033
"human1_lib1.final_cell_0027",-30.1013810879694,-11.921360800465
"human1_lib1.final_cell_0028",25.6260364354328,-28.422790759813
"human1_lib1.final_cell_0029",-0.590868134207067,-29.8763174239167
"human1_lib1.final_cell_0030",-32.7849510648235,-7.92973631923734
"human1_lib1.final_cell_0031",6.83162395766636,23.3017567065663
"human1_lib1.final_cell_0032",-6.00152621558081,12.2444631575234
"human1_lib1.final_cell_0033",-1.89801443874197,-4.17958196468258
"human1_lib1.final_cell_0034",-0.729656786807682,-13.7610215583512
"human1_lib1.final_cell_0035",-11.5820865034572,-12.2413242128837
"human1_lib1.final_cell_0036",16.1467686063516,-23.3326687083615
"human1_lib1.final_cell_0037",-40.7674636796554,0.265551625163782
"human1_lib1.final_cell_0038",-13.7563752784253,0.640871689080331
"human1_lib1.final_cell_0039",18.6512655025568,9.3273814427139
"human1_lib1.final_cell_0040",-11.7917808080325,7.69821118298321
"human1_lib1.final_cell_0041",-28.7122580303152,-27.053928553148
"human1_lib1.final_cell_0042",-39.4344821061024,-9.28059972910475
"human1_lib1.final_cell_0043",-1.92188460400963,-4.04906328093691
"human1_lib1.final_cell_0044",-29.1918873426475,-28.0163758491147
"human1_lib1.final_cell_0045",-27.4980520193278,-28.1575013182037
"human1_lib1.final_cell_0046",-25.5164039512172,-29.8906579948724
"human1_lib1.final_cell_0047",16.2985680942006,-24.1708813019887
"human1_lib1.final_cell_0048",-33.171812003231,-24.9325684069514
"human1_lib1.final_cell_0049",-4.10179965391911,7.40254580480151
"human1_lib1.final_cell_0050",-31.6916553727794,-10.765735437294
"human1_lib1.final_cell_0051",-7.39608923881212,7.94204997783593
"human1_lib1.final_cell_0052",-30.424316086219,2.27315093280558
"human1_lib1.final_cell_0053",16.1538456989439,-23.3637655971685
"human1_lib1.final_cell_0054",-28.3102614931299,-1.9584100292625
"human1_lib1.final_cell_0055",-9.4350122630342,-2.87707371580889
"human1_lib1.final_cell_0056",-32.6326863655685,-25.3353599993137
"human1_lib1.final_cell_0057",-35.8773152962212,-7.54375496801556
"human1_lib1.final_cell_0058",-21.5550903947196,-3.69843121717304
"human1_lib1.final_cell_0059",-0.272048188353923,4.56467367419499
"human1_lib1.final_cell_0060",16.7264306768738,7.47589411252601
"human1_lib1.final_cell_0061",43.6773888053641,-3.36588285549952
"human1_lib1.final_cell_0062",-23.9076984162714,26.3062715754727
"human1_lib1.final_cell_0063",14.3641053460692,9.40662552724606
"human1_lib1.final_cell_0064",50.8317310825097,-12.0201757152363
"human1_lib1.final_cell_0065",34.0841296470681,16.6700606403538
"human1_lib1.final_cell_0066",5.49680755725918,-30.4347229215005
"human1_lib1.final_cell_0067",-5.65764393123454,18.082020794468
"human1_lib1.final_cell_0068",-20.8578519674082,3.56673748058433
"human1_lib1.final_cell_0069",-6.25620118554714,1.9554020007136
"human1_lib1.final_cell_0070",-17.9707748473885,18.7374329039333
"human1_lib1.final_cell_0071",3.97067267246447,26.6694421837969
"human1_lib1.final_cell_0072",12.883142007529,7.72074021223855
"human1_lib1.final_cell_0073",-0.0811256898931402,-7.81111625020347
"human1_lib1.final_cell_0074",8.07802528838582,22.7292455191598
"human1_lib1.final_cell_0075",-22.4529562019307,-8.2962733301069
"human1_lib1.final_cell_0076",-16.8858511400068,1.22064427042154
"human1_lib1.final_cell_0077",-7.93613277428454,1.68583870463048
"human1_lib1.final_cell_0078",-13.7548499463781,-2.25567008044816
"human1_lib1.final_cell_0079",-33.9950513838136,-13.1030889920023
"human1_lib1.final_cell_0080",-25.8947649375683,-9.47228629046934
"human1_lib1.final_cell_0081",-14.4500411358935,-4.22765226754047
"human1_lib1.final_cell_0082",-7.07548700445956,0.422777032042897
"human1_lib1.final_cell_0083",-33.6790985694663,0.109355982787651
"human1_lib1.final_cell_0084",8.54258420017623,-26.9339637780345
"human1_lib1.final_cell_0085",-27.3187647317853,-29.0777905203782
"human1_lib1.final_cell_0086",-2.06883429484735,27.7017699946211
"human1_lib1.final_cell_0087",-11.4662956672135,8.08558145959017
"human1_lib1.final_cell_0088",-34.7897727333249,-0.749960449792424
"human1_lib1.final_cell_0089",17.1253647797702,7.88448843909736
"human1_lib1.final_cell_0090",-22.5942215338339,-3.98659851646356
"human1_lib1.final_cell_0091",-35.3723075460192,5.89565049985288
"human1_lib1.final_cell_0092",-33.7380840072494,3.32867201109869
"human1_lib1.final_cell_0093",-32.2694790717613,-6.28715962504905
"human1_lib1.final_cell_0094",4.32783525158884,5.85385082391501
"human1_lib1.final_cell_0095",-32.6875430067693,-4.04461979148226
"human1_lib1.final_cell_0096",23.8820892123022,12.4342066159109
"human1_lib1.final_cell_0097",-20.924016168558,-1.8433837117779
"human1_lib1.final_cell_0098",10.1698075145583,15.2853594658131
"human1_lib1.final_cell_0099",11.5209337692232,20.2258433623679
"human1_lib1.final_cell_0100",-25.8604815874725,-2.05107559681112
"human1_lib1.final_cell_0101",-22.9009349276586,-8.54916002945853
"human1_lib1.final_cell_0102",-3.43288957737516,17.649996519758
"human1_lib1.final_cell_0103",-22.0559250173471,18.9961961073511
"human1_lib1.final_cell_0104",-18.3505749477441,0.413844863332669
"human1_lib1.final_cell_0105",-34.6901626755864,-5.06836359639186
"human1_lib1.final_cell_0106",-35.6503149382863,-4.25156238923467
"human1_lib1.final_cell_0107",10.1130053877973,1.49862279969285
"human1_lib1.final_cell_0108",-27.0872704202354,14.4289296584372
"human1_lib1.final_cell_0109",15.6466011556544,-21.2447055343168
"human1_lib1.final_cell_0110",-10.0596722169072,-4.18080731471266
"human1_lib1.final_cell_0111",-22.0349566217054,-7.77590239765417
"human1_lib1.final_cell_0112",-7.8194269037752,2.46070190390147
