"","tSNE_1","tSNE_2"
"mouse1_lib1.final_cell_0001",4.22210528656095,28.2425856468612
"mouse1_lib1.final_cell_0002",-32.258548842638,-3.15504494601881
"mouse1_lib1.final_cell_0003",0.360893275469666,-38.5179220344411
"mouse1_lib1.final_cell_0004",30.4330064898351,-17.1088062964921
"mouse1_lib1.final_cell_0005",3.40961521372063,-33.7233936326962
"mouse1_lib1.final_cell_0006",11.8534425556332,13.7524345122598
"mouse1_lib1.final_cell_0007",2.05398870331077,24.2852116627561
"mouse1_lib1.final_cell_0008",-0.205695588000967,24.500802146915
"mouse1_lib1.final_cell_0009",1.56772995698089,6.57492127940105
"mouse1_lib1.final_cell_0010",-32.4228810198976,-7.43661100868383
"mouse1_lib1.final_cell_0011",-34.7577873266264,-11.5186301071214
"mouse1_lib1.final_cell_0012",-6.57375692792192,32.7995956267064
"mouse1_lib1.final_cell_0013",-9.7985628210798,7.54479196299516
"mouse1_lib1.final_cell_0014",3.47123035158793,-31.297955325399
"mouse1_lib1.final_cell_0015",3.08758418200833,5.2241133846011
"mouse1_lib1.final_cell_0016",-27.1551737176706,-11.5410568581674
"mouse1_lib1.final_cell_0017",5.19380383353228,1.70201658112386
"mouse1_lib1.final_cell_0018",31.6530041961134,-11.9788175871509
"mouse1_lib1.final_cell_0019",-35.2043833445157,-12.6169552385145
"mouse1_lib1.final_cell_0020",-32.971826136039,-6.3670184691975
"mouse1_lib1.final_cell_0021",-2.63555644308806,12.3884492104514
"mouse1_lib1.final_cell_0022",9.18904816378168,16.3086461763307
"mouse1_lib1.final_cell_0023",7.49273063212686,3.63895595964804
"mouse1_lib1.final_cell_0024",4.77570433659481,-35.0240572385519
"mouse1_lib1.final_cell_0025",30.9692557439346,-12.716649371631
"mouse1_lib1.final_cell_0026",35.7287782759533,8.0432231744601
"mouse1_lib1.final_cell_0027",-32.062642795198,-3.4254471867278
"mouse1_lib1.final_cell_0028",-22.2187349603525,-7.94155825877377
"mouse1_lib1.final_cell_0029",5.16194298245547,2.7952084933515
"mouse1_lib1.final_cell_0030",-33.4905478047089,-10.3172537041247
"mouse1_lib1.final_cell_0031",-28.5697725691222,-12.9419223076958
"mouse1_lib1.final_cell_0032",-25.2616704948941,-4.22875573676654
"mouse1_lib1.final_cell_0033",-1.83166635180871,-16.7690253951978
"mouse1_lib1.final_cell_0034",-0.261574580058238,17.2017158159398
"mouse1_lib1.final_cell_0035",10.0392098709019,14.6771514187009
"mouse1_lib1.final_cell_0036",-21.6296931596928,-7.89087905272397
"mouse1_lib1.final_cell_0037",-32.2357302299609,-12.7501138619306
"mouse1_lib1.final_cell_0038",-32.6876136579401,-11.6250377154218
"mouse1_lib1.final_cell_0039",-4.85116374615479,-36.4461381512112
"mouse1_lib1.final_cell_0040",4.82327295043898,2.73221297847417
"mouse1_lib1.final_cell_0041",4.67904277585614,14.4200223845467
"mouse1_lib1.final_cell_0042",-30.3631442699006,-4.81340541397847
"mouse1_lib1.final_cell_0043",6.11613324471883,-26.1941635601319
"mouse1_lib1.final_cell_0044",35.5272710891134,10.5891644670734
"mouse1_lib1.final_cell_0045",1.19430054452659,3.47452879900866
"mouse1_lib1.final_cell_0046",-5.58703108433059,31.0215594399835
"mouse1_lib1.final_cell_0047",4.27682350861037,-9.04551941396897
"mouse1_lib1.final_cell_0048",-28.9271793567134,-13.2748930554038
"mouse1_lib1.final_cell_0049",1.45585324464428,24.4869680832535
"mouse1_lib1.final_cell_0050",-32.5232544471954,-8.38341136868029
"mouse1_lib1.final_cell_0051",-2.69661403043843,-24.4801670957159
"mouse1_lib1.final_cell_0052",-8.02209340246168,33.7200239415353
"mouse1_lib1.final_cell_0053",-34.0708635986971,-14.369744450408
"mouse1_lib1.final_cell_0054",-32.0274613145055,-11.3351510599287
"mouse1_lib1.final_cell_0055",-29.9228540732508,-12.8436324235293
"mouse1_lib1.final_cell_0056",0.942163600855186,18.7566943541706
"mouse1_lib1.final_cell_0057",-29.6174144724508,-7.19446868379203
"mouse1_lib1.final_cell_0058",32.4901362546026,-2.94026633302668
