,tSNE_1,tSNE_2
AZ_A10,26.83772007,-8.828631122
AZ_A11,1.337552041,-17.38806276
AZ_A12,22.01813323,-10.1780136
AZ_A2,16.47267559,-13.9860739
AZ_A6,0.933406781,-23.07529653
AZ_A7,-38.28302044,-17.86621626
AZ_A8,32.93577291,2.354433513
AZ_B1,29.50930266,-10.98440803
AZ_B10,29.71964655,-9.501638685
AZ_B11,16.21265408,-17.14306537
AZ_B12,-1.875394447,-9.105176101
AZ_B2,2.249500242,-3.522514607
AZ_B3,-12.89757952,3.613271584
AZ_B5,2.857775481,-1.621891574
AZ_B8,-42.6126848,-2.524377464
AZ_B9,0.093692012,-22.03989252
AZ_C1,-4.353806241,-2.541746463
AZ_C10,29.53191195,2.823741997
AZ_C11,28.14230093,-8.374381865
AZ_C2,-16.43045483,-15.58356239
AZ_C3,-7.782425365,33.67738298
AZ_C4,28.72509946,2.016470183
AZ_C5,-1.439865182,-9.849307133
AZ_C8,-6.616099907,-9.960957041
AZ_C9,-0.58239826,22.2545826
AZ_D12,18.74864314,-17.18333473
AZ_D2,28.52568532,2.432397996
AZ_D3,4.264256091,-16.88173599
AZ_D4,-2.855583536,-11.46477086
AZ_D5,28.33635787,-8.1954462
AZ_D6,24.35768204,-5.78184172
AZ_D7,-4.894142506,-15.89513312
AZ_D8,19.91332866,-14.34910881
AZ_D9,-1.853337197,-8.814749422
AZ_E12,-11.53995742,-12.75628346
AZ_E2,-0.264584659,-5.422892956
AZ_E3,3.57743661,6.758266834
AZ_E4,-1.905011317,-11.69323159
AZ_E5,-0.170122772,-2.033073337
AZ_E7,28.19398839,9.017746213
AZ_E8,1.504274652,-13.90256213
AZ_E9,-4.395527598,0.059469053
AZ_F1,28.87674729,3.613637953
AZ_F2,28.74153293,2.121699424
AZ_F4,1.524038099,-4.268519023
AZ_F5,-23.19204339,23.69686445
AZ_F6,-38.20361275,-17.29253225
AZ_F7,24.49917644,-15.36688512
AZ_F8,-0.832423851,-7.144557235
AZ_F9,-9.20421765,17.42837806
AZ_G1,4.507668054,-15.84079061
AZ_G10,2.8029895,-3.124895941
AZ_G2,31.48247225,-3.198255302
AZ_G3,3.066979815,-18.21243292
AZ_G4,0.316961859,-5.651086745
AZ_G5,14.00835527,-18.54914251
AZ_G6,24.24864114,-16.56493712
AZ_H1,28.23573073,-13.92274227
AZ_H10,-41.55123848,-4.366547632
AZ_H11,28.89232951,1.88119066
AZ_H12,15.16531179,-18.92113568
AZ_H2,32.04148015,8.019877771
AZ_H5,12.42721222,-14.40659335
AZ_H6,32.09998399,3.070156703
AZ_H9,4.577954304,-16.07484398
HP1502401_A10,29.26813167,11.09979199
HP1502401_A12,-11.25438206,-23.98155741
HP1502401_A14,-42.14917208,-1.636680062
HP1502401_A15,-11.22178394,-22.47182509
HP1502401_A17,-6.121124981,-13.54936686
HP1502401_A18,31.06440673,-5.730002677
HP1502401_A2,31.01215778,-4.723910806
HP1502401_A22,-42.5141345,-1.437716163
HP1502401_A24,23.08129341,-12.16732429
HP1502401_A4,-10.16880374,-24.54458293
HP1502401_A6,28.80324207,3.981518122
HP1502401_A7,27.04285997,12.92871302
HP1502401_B1,31.2843928,8.194561861
HP1502401_B10,-12.9347837,9.716056628
HP1502401_B11,24.35141709,-15.37624956
HP1502401_B14,32.49175819,2.862062996
HP1502401_B15,24.7321904,-14.86890535
HP1502401_B16,-4.464188088,-27.00243697
HP1502401_B17,-40.68143521,-2.206776082
HP1502401_B18,12.36057686,-21.3891091
HP1502401_B20,-8.853067606,-25.27410995
HP1502401_B21,19.98618832,19.76655102
HP1502401_B23,31.33577227,4.997118824
HP1502401_B24,26.88518669,14.02868416
HP1502401_B5,-2.745185435,-25.80854444
HP1502401_B7,32.21359387,4.615859133
HP1502401_B8,27.36115981,-10.9189096
HP1502401_C1,-41.29537285,1.267088993
HP1502401_C10,26.84779184,10.26980258
HP1502401_C12,-3.971546523,25.04834645
HP1502401_C14,-18.15388155,-20.84608822
HP1502401_C16,-10.19180654,-24.48157138
HP1502401_C18,30.34230604,5.841902212
HP1502401_C20,32.04254024,-3.328773561
HP1502401_C21,35.25163359,-3.162412958
HP1502401_C4,-11.48435046,-17.14177006
HP1502401_C5,27.88642548,-10.54363253
HP1502401_C6,26.34598041,15.24216168
HP1502401_C7,28.14441521,12.51371395
HP1502401_C8,27.8096127,-4.721484036
HP1502401_D10,-40.90579444,-4.752206248
HP1502401_D12,30.34557078,-4.675397349
HP1502401_D13,27.05472782,10.37699173
HP1502401_D16,-8.225343805,-23.53595323
HP1502401_D17,28.96012378,-10.09723271
HP1502401_D18,-5.306601518,25.25378073
HP1502401_D2,-41.27383819,-12.38476207
HP1502401_D20,-11.84000645,-15.51318519
HP1502401_D22,30.73551826,7.364128053
HP1502401_D24,-9.720928346,-19.74897946
HP1502401_D3,30.24663754,7.785141865
HP1502401_D4,2.743371722,30.57340367
HP1502401_D5,-10.97041323,-24.86517612
HP1502401_D6,25.77272243,14.46566639
HP1502401_D7,32.90889564,4.970486558
HP1502401_D8,9.434601631,-14.52927792
HP1502401_E10,19.78318743,20.80386977
HP1502401_E11,-20.16605315,-0.758554995
HP1502401_E14,13.97993635,-10.74689181
HP1502401_E16,3.363865388,-19.73803716
HP1502401_E17,26.28198113,-15.44291605
HP1502401_E19,26.66020212,10.80651493
HP1502401_E2,-40.83523507,-6.552774058
HP1502401_E20,-40.62983895,-3.393628653
HP1502401_E21,-12.16980363,-4.769799359
HP1502401_E22,33.05474649,3.051577591
HP1502401_E23,-41.40797288,-12.88995828
HP1502401_E24,-40.79337854,-4.854789441
HP1502401_E3,31.091278,-11.9095871
HP1502401_E5,25.66642365,-16.53592683
HP1502401_E6,-2.920219536,-13.28669093
HP1502401_E7,19.63757124,-13.4733551
HP1502401_E9,29.88335187,-8.403376413
HP1502401_F10,-9.869271358,-24.68500408
HP1502401_F11,31.31981605,1.618340543
HP1502401_F12,-16.63197853,-15.34873447
HP1502401_F13,-40.43403575,-3.45674185
HP1502401_F15,14.16519171,-20.73096771
HP1502401_F16,34.46380691,-5.382745875
HP1502401_F17,17.74090752,-19.19101397
HP1502401_F18,12.38522108,-19.24417158
HP1502401_F19,-0.232894641,-18.86458972
HP1502401_F20,-9.431553084,4.918812519
HP1502401_F21,24.53772542,16.89925545
HP1502401_F22,33.40793112,4.238203695
HP1502401_F23,1.285864751,-17.36155049
HP1502401_F24,32.26707059,7.637727677
HP1502401_F4,-3.351544149,-27.78393734
HP1502401_F9,32.03452917,3.264250557
HP1502401_G10,-12.94439157,9.677332559
HP1502401_G11,19.85972045,-20.7020155
HP1502401_G12,16.14239109,-16.67702513
HP1502401_G14,27.43752266,9.020786929
HP1502401_G18,-40.71329906,-4.724124528
HP1502401_G20,23.38059397,-6.601306429
HP1502401_G22,30.74623013,5.69711331
HP1502401_G23,-2.272348382,28.72802274
HP1502401_G24,27.92562107,13.24135608
HP1502401_G3,31.71525401,-10.87140259
HP1502401_G4,26.94835399,7.753266989
HP1502401_G5,28.3350926,10.74395322
HP1502401_G6,33.76897299,4.708216168
HP1502401_G7,-4.205151994,-11.82947601
HP1502401_G8,2.35155343,-26.47649911
HP1502401_H1,-1.804032226,-11.92956464
HP1502401_H11,27.68944404,10.36321799
HP1502401_H12,28.91026758,3.26773701
HP1502401_H14,-2.361059036,-8.23429122
HP1502401_H15,-7.883483274,-27.02648605
HP1502401_H16,0.323550314,-27.18972111
HP1502401_H18,-24.08504999,23.96307068
HP1502401_H19,28.67251922,9.601689845
HP1502401_H2,-11.03318532,-23.36710065
HP1502401_H20,-4.585828162,-27.19112801
HP1502401_H21,-8.631280443,17.86757415
HP1502401_H22,29.14819812,7.733139151
HP1502401_H23,-3.011910116,28.71211197
HP1502401_H24,-1.558603657,-18.07540164
HP1502401_H3,-17.19629855,-21.51608382
HP1502401_H4,-12.20540812,-22.15253982
HP1502401_H5,-10.31775024,-21.87556917
HP1502401_H6,31.30664909,-11.39546826
HP1502401_H7,-20.87792417,-8.681446422
HP1502401_H8,-5.34348338,-23.2582339
HP1502401_I1,-20.15263857,-19.54942843
HP1502401_I12,6.182675934,9.335489037
HP1502401_I14,-41.9731051,1.150080574
HP1502401_I15,-2.038827727,-11.91088727
HP1502401_I16,-12.41230906,-26.23823818
HP1502401_I18,-13.52148992,-25.51590831
HP1502401_I2,-5.703768129,26.0697817
HP1502401_I21,8.935507825,35.13651741
HP1502401_I22,-18.19266728,-17.28097499
HP1502401_I23,0.306087721,2.110501233
HP1502401_I24,28.51421303,13.08404773
HP1502401_I4,-0.386958312,3.675063843
HP1502401_I6,24.1608333,-6.033250912
HP1502401_I7,28.68391634,-6.976482239
HP1502401_I8,10.65403938,-18.21662407
HP1502401_I9,31.16090327,-9.764914639
HP1502401_J1,-6.166868707,-24.24384861
HP1502401_J10,27.24372676,8.456752616
HP1502401_J11,1.564175183,-23.34390863
HP1502401_J12,31.21049602,6.658005327
HP1502401_J14,-0.947970705,-21.9199712
HP1502401_J15,-2.03509859,29.63275037
HP1502401_J17,9.444371784,36.87760506
HP1502401_J18,-2.430354581,-24.34920373
HP1502401_J19,-2.531668132,29.5024259
HP1502401_J2,-43.38035083,-2.422795776
HP1502401_J20,-18.63061318,-20.94546664
HP1502401_J21,-4.490853057,-24.91464244
HP1502401_J22,31.36372302,6.404309238
HP1502401_J23,0.988899298,-18.09728608
HP1502401_J24,-5.038224626,23.8592467
HP1502401_J4,-14.18664413,4.146913175
HP1502401_J6,-4.090809897,-22.97313561
HP1502401_J7,3.521342487,6.272806375
HP1502401_J8,-17.97966847,-21.48695388
HP1502401_K1,-7.021651219,-25.07776898
HP1502401_K10,-42.55149549,-1.236717837
HP1502401_K11,2.12306279,-23.20821565
HP1502401_K12,-41.22332733,0.765122284
HP1502401_K14,16.74165343,-17.83773707
HP1502401_K15,-9.2587973,-19.89437667
HP1502401_K16,-9.907891039,-3.442128371
HP1502401_K17,5.816265725,-16.2093407
HP1502401_K19,35.11697332,-5.377744527
HP1502401_K2,-8.947047011,-25.89563686
HP1502401_K20,-9.34494959,-26.7205971
HP1502401_K21,-1.567341995,-17.48230039
HP1502401_K22,-20.25262435,-2.11987267
HP1502401_K23,20.95707162,-17.91519719
HP1502401_K24,17.2746043,-16.00229298
HP1502401_K3,-19.50114038,-21.33835414
HP1502401_K5,-3.087101267,-11.41441188
HP1502401_K6,-12.41023847,-26.28575428
HP1502401_K9,-19.09212523,-10.41217014
HP1502401_L1,1.014799735,-25.17825252
HP1502401_L10,30.80403773,3.883127168
HP1502401_L11,-12.55025473,-16.89488972
HP1502401_L12,-11.5003389,-26.68870213
HP1502401_L13,-6.593221976,-23.35433612
HP1502401_L14,19.70707185,-16.02808082
HP1502401_L15,-13.58483646,-13.69095055
HP1502401_L16,-1.311834727,-25.42942687
HP1502401_L17,-3.362719004,-27.49012106
HP1502401_L18,-8.532671496,17.44717291
HP1502401_L2,-0.954684395,-24.92975509
HP1502401_L20,-6.820785871,-4.978850992
HP1502401_L21,-9.24692143,-5.205244187
HP1502401_L22,-5.156572151,-28.25497925
HP1502401_L23,0.9988327,-26.7757113
HP1502401_L3,-7.360013566,-3.515145435
HP1502401_L4,-20.14629283,-19.48242982
HP1502401_L5,3.232544606,29.95634894
HP1502401_L7,0.519711029,-0.099446231
HP1502401_L9,-20.56708845,-0.724781747
HP1502401_M1,-18.731928,-20.31666009
HP1502401_M10,-1.86003697,-12.40228004
HP1502401_M11,-19.7190152,-19.21957506
HP1502401_M12,29.07367925,7.588530947
HP1502401_M14,-13.59654239,-22.39882756
HP1502401_M15,-7.932119121,-27.13576407
HP1502401_M16,-5.03885073,19.48095195
HP1502401_M17,3.412652884,5.86982205
HP1502401_M19,-10.57395328,-16.19646939
HP1502401_M2,23.62042429,11.38283747
HP1502401_M20,26.11325784,14.21994671
HP1502401_M21,-9.173278431,-26.76592498
HP1502401_M22,-42.11984833,0.953166254
HP1502401_M23,1.068316816,-18.79611707
HP1502401_M24,-17.54875805,-17.42493576
HP1502401_M3,-10.43258672,-15.2784575
HP1502401_M4,3.136153014,-22.38192902
HP1502401_M5,6.053802852,-21.40912225
HP1502401_M6,28.89025258,-12.32477905
HP1502401_M7,-11.13604486,7.786904769
HP1502401_M8,-43.09653941,-2.147102774
HP1502401_N1,27.40073252,8.383460887
HP1502401_N10,4.880167697,34.47234588
HP1502401_N11,19.57637766,-19.04868472
HP1502401_N12,-4.071004927,-21.03928473
HP1502401_N15,-11.09793789,-17.6575613
HP1502401_N16,1.203499144,22.47880506
HP1502401_N17,-7.962826893,-23.28456056
HP1502401_N18,-6.573435914,19.78874472
HP1502401_N2,-41.88436362,-6.587823415
HP1502401_N20,-13.05703664,9.882395885
HP1502401_N21,31.98280155,5.166397103
HP1502401_N23,20.53840719,-15.12952911
HP1502401_N3,-19.2479401,-18.00473132
HP1502401_N4,0.286659348,-14.34767806
HP1502401_N7,27.09058371,-11.55307674
HP1502401_N8,25.46209314,7.756407549
HP1502401_N9,14.31122826,-17.8034511
HP1502401_O1,-5.223714688,0.936245624
HP1502401_O10,-1.28000342,26.65607425
