,tSNE_1,tSNE_2
F1S4_160108_001_A01,-22.09185773,27.67685954
F1S4_160108_001_B01,-27.55272817,24.67371478
F1S4_160108_001_C01,-26.41511197,24.9430769
F1S4_160108_001_D01,-34.88897476,26.65425268
F1S4_160108_001_E01,-32.60668821,14.41420382
F1S4_160108_001_F01,-20.92380191,-4.418193535
F1S4_160108_001_G01,12.82269046,34.59434441
F1S4_160108_001_H01,16.87617826,31.98442932
F1S4_160108_002_A01,-41.29405489,19.28568476
F1S4_160108_002_B01,-39.57081181,13.76547992
F1S4_160108_002_C01,-6.764500352,30.24733784
F1S4_160108_002_D01,8.479540972,43.93456995
F1S4_160108_002_E01,-10.31263483,23.73344787
F1S4_160108_002_F01,-5.891551374,41.43013029
F1S4_160108_002_G01,-0.669251785,37.88635423
F1S4_160108_002_H01,4.483151086,45.62584157
F1S4_160108_003_A01,-31.35650285,28.1898806
F1S4_160108_003_B01,-25.61731744,26.27952965
F1S4_160108_003_C01,-18.35588451,33.23125227
F1S4_160108_003_D01,-25.57855665,34.1566453
F1S4_160108_003_E01,-2.163003501,46.33550198
F1S4_160108_003_F01,-27.65072065,37.52880569
F1S4_160108_003_G01,16.76061903,32.19716085
F1S4_160108_003_H01,-29.83892222,33.88086476
F1S4_160108_004_A01,-5.916357854,31.62788629
F1S4_160108_004_B01,-28.12607216,26.15602621
F1S4_160108_004_C01,-14.38976653,0.733415403
F1S4_160108_004_D01,-28.67539099,36.30430813
F1S4_160108_004_E01,-16.87304229,10.42052927
F1S4_160108_004_F01,-32.96261179,-0.456462541
F1S4_160108_004_G01,5.66855997,43.54168201
F1S4_160108_004_H01,-7.303468017,10.42582067
F1S4_160108_005_A01,-28.39116362,22.38305962
F1S4_160108_005_B01,-20.02401516,18.66005805
F1S4_160108_005_C01,-22.58123688,31.09576194
F1S4_160108_005_D01,-27.46067303,16.11477789
F1S4_160108_005_E01,-28.9416061,28.44830517
F1S4_160108_005_F01,-29.07527929,31.84638662
F1S4_160108_005_G01,18.33552921,33.76998779
F1S4_160108_005_H01,-30.84225428,1.479417548
F1S4_160108_006_A01,-5.426639452,14.1074068
F1S4_160108_006_B01,18.30429161,34.00071437
F1S4_160108_006_C01,-41.03045514,-2.322468813
F1S4_160108_006_D01,-12.03479591,18.87025635
F1S4_160108_006_E01,-27.61103405,6.736326577
F1S4_160108_006_F01,-36.95324029,-0.001825818
F1S4_160108_006_G01,-21.04523545,32.89760767
F1S4_160108_006_H01,-27.03968282,0.783436547
F1S4_160108_007_A01,-33.77334091,21.10512056
F1S4_160108_007_B01,-13.71547373,8.30462732
F1S4_160108_007_C01,3.599459414,25.87744271
F1S4_160108_007_D01,-38.65615093,6.852470291
F1S4_160108_007_E01,-24.23664285,1.282665061
F1S4_160108_007_F01,-4.920432165,28.59067496
F1S4_160108_007_G01,-27.80802167,9.994137376
F1S4_160108_007_H01,-22.23741291,39.39949454
F1S4_160108_008_A01,-29.75029646,2.362664576
F1S4_160108_008_B01,-7.995057396,12.67859375
F1S4_160108_008_C01,-20.04972209,32.44769202
F1S4_160108_008_D01,-22.15631359,8.506884804
F1S4_160108_008_E01,-22.73143391,22.82316167
F1S4_160108_008_F01,-8.08124154,13.6975516
F1S4_160108_008_G01,3.666003345,29.32722022
F1S4_160108_008_H01,-36.08519959,-2.248318173
F1S4_160108_009_A01,-14.12789658,12.03726808
F1S4_160108_009_B01,-10.53035658,14.68356655
F1S4_160108_009_C01,-2.893081432,28.40233868
F1S4_160108_009_D01,-27.34810562,-34.04885794
F1S4_160108_009_E01,0.253704792,20.70097354
F1S4_160108_009_F01,5.044971164,6.876039414
F1S4_160108_009_G01,-34.48605371,-0.416410014
F1S4_160108_009_H01,-31.94378583,-8.444010834
F1S4_160108_010_A01,-7.476871954,24.97982996
F1S4_160108_010_B01,-0.409722686,45.38070966
F1S4_160108_010_C01,-14.81646681,24.25412904
F1S4_160108_010_D01,1.154602297,16.5065095
F1S4_160108_010_E01,9.278690347,37.94763995
F1S4_160108_010_F01,-33.62377689,-8.01756031
F1S4_160108_010_G01,-31.3391685,24.86675497
F1S4_160108_010_H01,-19.38501941,38.07061682
F1S4_160108_011_A01,-27.80086285,0.688542351
F1S4_160108_011_B01,-36.27242893,2.208234357
F1S4_160108_011_C01,-12.31501349,3.43701447
F1S4_160108_011_D01,3.473383334,41.66639501
F1S4_160108_011_E01,-25.33157077,-8.990339405
F1S4_160108_011_F01,2.775666621,37.09372611
F1S4_160108_011_G01,-7.962180311,12.86465185
F1S4_160108_011_H01,20.11306962,32.63872283
F1S4_160108_012_A01,-23.09751429,40.64218057
