,tSNE_1,tSNE_2
Sample_1,-7.352406214,-14.08157723
Sample_2,-16.36950844,-5.717978365
Sample_3,-14.20978635,-7.356901536
Sample_4,-15.811757,-8.170723722
Sample_5,-18.66879994,-3.599554183
Sample_6,-14.50859999,-10.15760789
Sample_7,-16.21582577,-11.4486349
Sample_8,-17.2853337,-2.630526233
Sample_9,-17.27755738,-11.12624797
Sample_10,-15.33950097,-9.278949417
Sample_11,-12.76452336,-10.06813451
Sample_12,-12.52115421,-9.670185249
Sample_13,-19.58687905,-10.15087889
Sample_14,-13.78553357,-9.909568181
Sample_15,-12.49311459,-9.934161184
Sample_16,-14.17378329,-8.854322864
Sample_17,-21.72363599,-4.776057528
Sample_18,-13.3768607,-9.451492729
Sample_19,-18.25524546,-1.597304972
Sample_20,-12.07347004,-10.3770926
Sample_21,-16.26970887,-7.918491807
Sample_22,-12.40046943,-9.149789467
Sample_23,-13.69362709,-9.90829981
Sample_24,-13.70045123,-11.01311851
Sample_25,-14.09223618,-7.888147619
Sample_26,-25.51768354,-13.2311663
Sample_27,-29.73731315,-2.752327076
Sample_28,-25.24542218,2.093873439
Sample_29,-19.55829697,-10.86720014
Sample_30,-13.81872875,-6.737309991
Sample_32,-16.79686548,-10.06765184
Sample_33,-18.52387833,-13.56835801
Sample_34,-18.39135466,-8.997824443
Sample_35,-16.26908033,-1.11218496
Sample_36,-19.67374144,-8.171714422
Sample_37,-17.90143144,-8.229231899
Sample_38,-15.44890401,-10.64278604
Sample_39,-18.14982101,-9.173487
Sample_40,-18.17376797,-5.412759348
Sample_41,-16.22824093,-10.46033256
Sample_42,-17.44615589,-9.913045729
Sample_44,-18.91551772,-9.75514381
Sample_45,-12.7258268,-8.692370238
Sample_46,-17.04967275,-6.950343565
Sample_47,-16.12765344,-5.433515507
Sample_48,-15.71922129,-5.735444378
Sample_49,-16.64741146,-0.167505558
Sample_50,-12.29022059,-9.733521492
Sample_51,-16.25242365,-12.80845499
Sample_52,-19.70254462,-11.83737717
Sample_53,-18.55500995,-5.80987442
Sample_54,-25.39803681,-9.766991336
Sample_55,-17.15857466,1.910163701
Sample_56,-25.72099926,-1.353573103
Sample_57,-31.33117805,-6.515107981
Sample_58,-18.44186997,-4.489476453
Sample_59,-24.28496593,-2.601844907
Sample_60,-25.53661727,-3.693406939
Sample_61,-26.82888414,-9.618882595
Sample_62,-23.53337391,-11.96336352
Sample_63,-29.3444484,-11.12365128
Sample_64,-25.29045057,-8.73018115
Sample_65,-31.51916338,-4.502066259
Sample_66,-24.97390581,-8.434162458
Sample_67,-28.49158795,0.002511231
Sample_68,-26.744227,-10.15588922
Sample_69,-22.73509511,-10.64896208
Sample_71,-25.24955075,0.236433235
Sample_72,-26.01064836,-8.158099109
Sample_74,-31.61918216,-8.309130633
Sample_75,-24.23595668,-5.787294818
Sample_76,-27.55415555,-8.908120949
Sample_77,-24.72864027,-3.473850592
Sample_78,-19.53652508,4.281688627
Sample_79,-17.23431652,1.847339032
Sample_80,-15.40161222,-0.617915496
Sample_81,-26.63407858,-2.945772354
Sample_82,-16.73777664,1.733893568
Sample_83,-13.94443335,-11.02613581
Sample_84,-17.12509264,1.750231651
Sample_85,-17.35537695,1.907107064
Sample_86,-29.06191415,-1.862233727
Sample_87,-35.35015343,-3.846144406
Sample_88,-32.50428236,-10.67838501
Sample_89,-34.62529847,2.249740161
Sample_90,-25.88364802,-2.11655841
Sample_91,-33.20010039,5.76451439
Sample_92,-31.31648092,2.658045827
Sample_93,-27.78291009,-1.052334106
Sample_95,-19.58782969,-3.335484234
Sample_96,-22.19250666,3.533367518
Sample_97,-18.95689954,4.256040757
Sample_98,-15.26657645,2.415060869
Sample_99,-20.97811259,0.963570072
Sample_100,-27.51435281,-8.397088352
Sample_101,-21.44668708,-4.815147748
Sample_102,-21.99012372,-4.196872762
Sample_103,-13.92032369,-6.993883079
Sample_104,-25.29751103,-8.489721142
Sample_105,-26.69682719,-10.27914294
Sample_106,-18.87251736,-11.47533673
Sample_107,-19.56836738,-11.54366948
Sample_108,-24.56866756,-5.936280828
